text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	chunk_desc	pic_desc
																								
adámь	адáмь	adamъ	Adam	Nmsny		102	1	2	nsubj				ʺAdam was the first (creation?) of my single-born Son.ʺ	1										
prьvì+	прьвѝ+	prъvi	pъrvi	Amsny		102	2	0	root															
bistь	бисть	bistъ	sъm	Vmia3se		102	3	2	cop															
sinà+	синà+	sina	sin	Nmsgy		102	4	2	nmod							As originally a u-stem, the ending would formally be a sg.acc form.								
moego	моего	moego	moi	Amsgy		102	5	4	amod	poss														
edi_norodnago+	еди_нороднаго+	edinorodnago	edinoroden	Amsgy		102	6	4	amod					1										
																								
ego+	его+	ego	toi	Pp3msg		103	1	2	nmod	poss			ʺI make his kingdom to be like you (?)ʺ											
crьstvà.	црьствà.	crъstva	carstvo	Nnsgn		103	2	3	obj															
oȕpo_doblu.	оу̏по_доблꙋ.	oȕpodoblu	upodobja	Vmip1se		103	3	0	root					1										
tebě`+	тебѣ̀+	tebě	ty	Pp2-sd		103	4	3	obl	iobj														
																								
glu	глꙋ	glu	glagolati	Vmip1si		104	1	0	root				ʺ(Thus) I speak today.ʺ											
dnsь	днсь	dnsъ	dnes	R		104	2	1	advmod															
																								
sьni_di+	сьни_ди+	sъnidi	sъniti	Vmm-2se		105	1	0	root				ʺGo down to the low tormentor!ʺ											
kь+	кь+	kъ	k	Sd		105	2	4	case					1										
donemù.	донемꙋ̀.	donemu	dolen	Amsdy		105	3	4	amod															
mčtlù+	мчтлꙋ̀+	mčtlu	mъčitel	Nmsdy		105	4	1	obl															
																								
i+	и+	i	i	C		106	1	2	cc				ʺAnd take for Me from him the divine-weaved clothes,ʺ											
vь_zmi+	вь_зми+	vъzmi	vzema	Vmm-2se		106	2	0	root					1										
mi+	ми+	mi	az	Pp1-sd		106	3	2	obl	iobj														
wt+	ѿ+	ot	ot	Sg		106	4	5	case															
nego+	него+	nego	toi	Pp3msg		106	5	2	obl	abl														
bgo_tkanú	бго_тканꙋ́	bgotkanu	bogotъkan	Afsan		106	6	7	amod					1										
ẅděždu	ѡ̈дѣждꙋ	ẅděždu	odežda	Nfsan		106	7	2	obj															
i+	и+	i	i	C		106	8	11	cc				ʺand the un-withering wreath of command over archangelic ranks,ʺ											
ne+	не+	ne	ne	Qz		106	9	10	amod															
uvedimi+	ꙋведими+	uvedimi	uvędati	Amsny	Vmpp-si	106	10	11	amod															
vě_ncь.	вѣ_нць.	věncъ	venec	Nmsnn		106	11	7	conj					1										
skipetra	скипетра	skipetra	skiptъr	Nmsgn		106	12	11	nmod															
arxigglь_ski+	архиггль_ски+	arxigglъski	arxangelski	Ampnn		106	13	14	amod					1										
činovь.	чиновь.	činovъ	čin	Nmpgn		106	14	12	nmod															
iže+	иже+	iže	iže	Pr-msn		106	15	16	mark				ʺwhich he took from Me!ʺ											
vьzetь	вьзеть	vъzetъ	vzema	Vmia3se		106	16	7	acl					1										
wt+	ѿ+	ot	ot	Sg		106	17	18	case															
méne.	ме́не.	mene	az	Pp1-sg		106	18	16	obl	abl														
																								
i+	и+	i	i	C		107	1	2	cc				ʺAnd make him infamous and unseeming, as it is appropriate (for him)!ʺ											
sьtvori+	сьтвори+	sъtvori	sъtvorja	Vmm-2se		107	2	0	root															
ego	его	ego	toi	Pp3msg		107	3	2	obj					2										
ne+	не+	ne	ne	Qz		107	4	5	amod		44v	/img/satan/44v.JPG												
slavna	славна	slavna	slaven	Amsgn		107	5	2	obl	pred														
i+	и+	i	i	C		107	6	8	cc															
ne+	не+	ne	ne	Qz		107	7	8	amod															
lepna.	лепна.	lepna	lěp	Amsgn		107	8	5	conj															
jako_že+	ꙗко_же+	jakože	jakože	C		107	9	10	mark					1										
podobae.	подобае.	podobae	podobati	Vmip3si		107	10	2	advcl															
																								
i+	и+	i	i	C		108	1	3	cc				ʺAnd may his servants know, that they are blessed (?) !ʺ											
da+	да+	da	da	C		108	2	3	aux	opt														
poznaju_tь+	познаю_ть+	poznajutъ	poznaja	Vmip1se		108	3	0	root					1										
slugi	слꙋги	slugi	sluga	Nfpny		108	4	3	nsubj															
ego,	его,	ego	toi	Pp3msg		108	5	4	nmod	poss														
jako+	ꙗко+	jako	jako (2)	C		108	6	7	mark															
prěblaže_ni+	прѣблаже_ни+	prěblaženi	preblažen	Ampnn		108	7	3	advcl					1		Likely a misreading of *<i>prěblazneni</i> 'deceived'.								
sútь,	сꙋ́ть,	sutъ	sъm	Vmip3pi		108	8	7	aux	pass														
																								
rče	рче	rče	reka	Vmia3se		109	1	0	root				Archangel Michael said:											
arxanglь	архангль	arxanglъ	arxangel	Nmsny		109	2	1	nsubj															
mixà_ilь.	михà_иль.	mixailъ	Mixail	Nmsny		109	3	2	appos					1										
																								
vldko+	влдко+	vldko	vladika	Nfsvy		110	1	4	vocative				ʺO most powerful Lord, you know the evil-thinking one himself (?), that he will put me to shame.ʺ											
vsesile+	всесиле+	vsesile	vsesilen	Amsvn		110	2	1	amod															
ti	ти	ti	ty	Pp2-sd		110	3	4	nsubj															
věšь	вѣшь	věšъ	věděti	Vmip2si		110	4	0	root					1		A Serbism (OCS <i>věsi</i>).								
bo+	бо+	bo	bo	C		110	5	4	discourse															
zlò_úmnago+	зло̀_ꙋ́мнаго+	zloumnago	zloumen	Amsgy		110	6	7	amod															
samogo,	самого,	samogo	sam	Amsgy		110	7	4	obj															
jako	ꙗко	jako	jako (2)	C		110	8	9	mark					1										
posramiti+	посрамити+	posramiti	posramja	Vmn---e		110	9	4	advcl															
me,	ме,	me	az	Pp1-sa		110	10	9	obj															
xoštetь	хощеть	xoštetъ	xotěti	Vaip3si		110	11	9	aux	fut				1										
																								
na+	на+	na	na	Sa		111	1	2	case				ʺI cannot disobey your commands and blessings.ʺ											
povelenïja	повеленїꙗ	povelenija	povelenie	Nnpnn		111	2	6	obl															
i+	и+	i	i	C		111	3	4	cc															
blgosti+	блгости+	blgosti	blagost	Nfpnn		111	4	2	conj															
tv_oe.	тв_ое.	tvoe	tvoi	Ansny	Afpan	111	5	6	amod	poss				1		Number discord following <i>povelenija</i>, but if it reflects a nasal, it may agree with <i>blagosti</i>.								
preposlúšati+	препослꙋ́шати+	preposlušati	prěposlušati	Vmn---e		111	6	0	root															
ne+	не+	ne	ne	Qz		111	7	8	advmod															
mogu	могꙋ	mogu	moga	Vaip1si		111	8	6	aux					1										
																								
poiti+	поити+	poiti	poida	Vmn---e		112	1	0	root				ʺI shall go to the low tormentor.ʺ											
xoštu+	хощꙋ+	xoštu	xotěti	Vaip1si		112	2	1	aux	fut														
kь+	кь+	kъ	k	Sd		112	3	5	case															
donemú.	донемꙋ́.	donemu	dolen	Amsdy		112	4	5	amod					1										
mčtlu,	мчтлꙋ,	mčtlu	mъčitel	Nmsdy		112	5	1	obl															
																								
pospeši+	поспеши+	pospeši	pospěšiti	Vmm-2se		113	1	0	root				ʺHelp me, o Lord!ʺ											
me+	ме+	me	az	Pp1-sa		113	2	1	obj															
vldko+	влдко+	vldko	vladika	Nfsvy		113	3	1	vocative															
																								
i+	и+	i	i	C		114	1	4	cc				ʺAnd place your most holy right (hand) on my face (to) help me!ʺ											
prě_svě`túju+	прѣ_свѣ̀тꙋ́ю+	prěsvětuju	presvęt	Afsay		114	2	3	amod					1										
desnìcù,	деснѝцꙋ̀,	desnicu	desnica	Nfsan		114	3	4	obj															
posta_vi+	поста_ви+	postavi	postavja	Vmm-2se		114	4	0	root					1										
na+	на+	na	na	Sa		114	5	6	case							The scribe seems indecisive about the case: sg.nom/acc of <i>lice</i> would be more appropriate after <i>postavi</i> than loc/inst of the adjective.								
lice+	лице+	lice	lice	Nnsnn		114	6	4	obl															
moemь.	моемь.	moemъ	moi	Ansln		114	7	6	amod	poss														
pomo_štь+	помо_щь+	pomoštъ	pomošt	Nfsnn		114	8	4	obl					1										
mně.	мнѣ.	mně	az	Pp1-sd		114	9	8	nmod	iobj														
																								
i+	и+	i	i	C		115	1	2	cc				ʺAnd I pray you, o Lord:ʺ											
mlu+	млꙋ+	mlu	molja	Vmip1si		115	2	0	root															
ti+	ти+	ti	ty	Pp2-sd	Pp2-sn	115	3	2	obl	iobj														
se+	се+	se	se	Px---a		115	4	2	expl															
vldko	влдко	vldko	vladika	Nfsvy		115	5	2	vocative					1										
																								
glsь.	глсь.	glsъ	glas	Nmsnn		116	1	7	obj				ʺMay you will not be angry with me (for) the words, which I shall say.ʺ											
iže+	иже+	iže	iže	Pr-msn		116	2	4	mark															
imamь+	имамь+	imamъ	imam	Vaip1si		116	3	4	aux	fut														
glati	глати	glati	glagolati	Vmn---i		116	4	1	acl															
da	да	da	da	C		116	5	7	aux	opt				1										
ne+	не+	ne	ne	Qz		116	6	7	advmod															
prognevaeši+	прогневаеши+	prognevaeši	progněvati	Vmip2se		116	7	0	root															
se+	се+	se	se	Px---a		116	8	7	expl															
na+	на+	na	na	Sa		116	9	10	case															
me	ме	me	az	Pp1-sa		116	10	7	obl					1										
																								
gь+	гь+	gъ	Gospod	Nmsny		117	1	2	nsubj				ʺBecause the Lord sees all the cunning (of) Satanael, or him (?),ʺ			The syntax seems broken. Punčo: <i>če nali znaešь g-di zašto e toja santailь xitarь i lukavь i silenь i voevodi aggelski treperatь ot nego ot zьlь negovь razumь</i>								
vidi+	види+	vidi	vidja	Vmip3si	Vmia3si	117	2	0	root															
bo+	бо+	bo	bo	C		117	3	2	cc															
vsakie.	всакие.	vsakie	vsěki	Afpny		117	4	5	amod	det														
xitro_sti.	хитро_сти.	xitrosti	xitrost	Nfpnn		117	5	6	obj					1										
satánaìlь+	сатáнаѝль+	satanailъ	Satanail	Nmsny		117	6	5	nmod	poss														
ili+	или+	ili	ili	C		117	7	8	cc															
ego	его	ego	toi	Pp3msg		117	8	5	conj					2										
jako	ꙗко	jako	jako (2)	C		117	9	13	mark		45r	/img/satan/45r.JPG	ʺas all his angels, (who) tremble (?) to outwit (?) his mind.ʺ											
vsi	вси	vsi	vse	Ampnn		117	10	11	amod	det														
angli+	англи+	angli	angel	Nmpny		117	11	13	nsubj															
ego+	его+	ego	toi	Pp3msg		117	12	11	nmod	poss														
trepeštu	трепещꙋ	trepeštu	trepati	Vmip1si	Vmip3pi	117	13	2	advcl					1		Punčo's translation hints that <i>angli ego</i> should be the subject.								
da+	да+	da	da	C		117	14	15	mark															
prělьštù+	прѣльщꙋ̀+	prělъštu	prelъštam	Vmip1si	Vmip3pi	117	15	13	advcl															
ego+	его+	ego	toi	Pp3msg		117	16	17	nmod	poss														
razúmь.	разꙋ́мь.	razumъ	razum	Nmsnn		117	17	15	obj															
																								
da	да	da	da	C		118	1	4	mark				ʺIf I would not lie to him, how would I deceive him?ʺ	1										
ašte+	аще+	ašte	ašte	C		118	2	1	fixed															
ne+	не+	ne	ne	Qz		118	3	4	advmod															
sьlьžu+	сьльжꙋ+	sъlъžu	slъža	Vmip1se		118	4	9	advcl															
emȕ.	емꙋ̏.	emu	toi	Pp3msd		118	5	4	obj															
to+	то+	to	to	Qd		118	6	9	cc															
i+	и+	i	i	C		118	7	6	fixed															
ka_ko	ка_ко	kako	kako	Pq		118	8	9	advmod					1										
prělaštu+	прѣлащꙋ+	prělaštu	prelъštam	Vmip1se		118	9	0	root															
ego.	его.	ego	toi	Pp3msg		118	10	9	obj															
																								
gь+	гь+	gъ	Gospod	Nmsny		119	1	2	nsubj				The Lord said to him:											
rče+	рче+	rče	reka	Vmia3se		119	2	0	root															
emú	емꙋ́	emu	toi	Pp3msd		119	3	2	obl	iobj				1										
																								
ti+	ти+	ti	ty	Pp2-sd	Pp2-sn	120	1	4	nsubj				ʺYou, my Michael, go to the low tormentor!ʺ											
moi+	мои+	moi	moi	Amsny		120	2	3	amod															
mixàile+	михàиле+	mixaile	Mixail	Nmsny		120	3	1	vocative															
poidi	поиди	poidi	poida	Vmm-2se		120	4	0	root															
kь	кь	kъ	k	Sd		120	5	7	case					1										
donemu	донемꙋ	donemu	dolen	Amsdy		120	6	7	amod															
mčtlu.	мчтлꙋ.	mčtlu	mъčitel	Nmsdy		120	7	4	obl															
																								
da	да	da	da	C		121	1	3	mark				ʺIf you tell him a lie, may it be in good will for you.ʺ											
ako	ако	ako	ako	C		121	2	1	fixed															
rčešь	рчешь	rčešъ	reka	Vmip2se		121	3	7	advcl					1										
emoȕ+	емоу̏+	emoȕ	toi	Pp3msd		121	4	3	obl															
lьžu.	льжꙋ.	lъžu	lъža	Nfsan		121	5	3	obj															
da+	да+	da	da	C		121	6	7	aux	opt														
bude+	бꙋде+	bude	bъda	Vmip3se		121	7	0	root															
ti	ти	ti	ty	Pp2-sd	Pp2-sn	121	8	7	obl	iobj														
vь	вь	vъ	v	Sa		121	9	10	case					1										
blgovolenïe+	блговоленїе+	blgovolenie	blagovolenie	Nnsnn		121	10	7	obl															
																								
i+	и+	i	i	C		122	1	3	cc				ʺAnd thus rob him!ʺ											
tako+	тако+	tako	taka	Pr		122	2	3	advmod															
ẅple_ni+	ѡ̈пле_ни+	ẅpleni	oplenja	Vmm-2se		122	3	0	root					1										
ego.	его.	ego	toi	Pp3msg		122	4	3	obj															
																								
i+	и+	i	i	C		123	1	5	cc				ʺAnd I will send you a sun to work for you.ʺ											
ja+	ꙗ+	ja	ja	Pp1-sn		123	2	5	nsubj															
ti+	ти+	ti	ty	Pp2-sd	Pp2-sn	123	3	5	obl	iobj														
xoštu+	хощꙋ+	xoštu	xotěti	Vaip1si		123	4	5	aux	fut														
pusti_ti	пꙋсти_ти	pustiti	pustja	Vmn---e		123	5	0	root					1										
slьnce+	сльнце+	slъnce	slъnce	Nnsnn		123	6	5	obj															
da+	да+	da	da	C		123	7	9	mark															
ti	ти	ti	ti	Pp2-sd	Pp2-sn	123	8	9	obl	iobj														
rabotae_tь.	работае_ть.	rabotaetъ	rabotati	Vmip3si		123	9	5	advcl					1										
																								
i+	и+	i	i	C		124	1	2	cc				ʺAnd I will ignite it six times more than the shining sun, which will be above.ʺ											
ražegu+	ражегꙋ+	ražegu	razžegna	Vmip1se		124	2	0	root															
ego	его	ego	toi	Pp3msg		124	3	2	obj															
*z*	·з·	*z*	6	Mc		124	4	5	nummod															
česti	чести	česti	čast	Nfpnn		124	5	2	obl					1										
pače	паче	pače	pače	R		124	6	7	case															
slnca	слнца	slnca	slъnce	Nnsgn		124	7	5	nmod															
sïjajuštago	сїꙗющаго	sijajuštago	sijaja	Ansgy	Vmpp-sia	124	8	7	amod															
iže	иже	iže	iže	Pr-msn		124	9	10	mark					1										
budetь+	бꙋдеть+	budetъ	bъda	Vmip3se		124	10	7	acl															
gorь`	горь̀	gorъ	gore	R		124	11	10	advmod															
																								
i+	и+	i	i	C		125	1	3	cc				ʺAnd the hills will burn, and the earth to 50 cubits (of depth).ʺ											
xlьmi+	хльми+	xlъmi	xъlm	Nmpnn		125	2	3	nsubj															
izgo_retь+	изго_реть+	izgoretъ	izgorja	Vmip3pe		125	3	0	root					1										
i+	и+	i	i	C		125	4	5	cc															
zemlà	землà	zemla	zemlja	Nfsnn		125	5	2	conj															
*n*	·н·	*n*	50	Mc		125	6	7	nummod															
lakьtь.	лакьть.	lakъtъ	lakъt	Nmpgn		125	7	3	obl					1										
																								
isuštu	исꙋщꙋ	isuštu	izsuša	Vmip1se		126	1	0	root				ʺI will make the sea dry twice.ʺ											
morà.	морà.	mora	more	Nnpnn		126	2	1	obj															
dvè	двѐ	dve	dva	Afdnn		126	3	4	nummod															
česti	чести	česti	čast	Nfdnn	Nfpnn	126	4	1	obl					1										
																								
i+	и+	i	i	C		127	1	2	cc				ʺAnd I will pour my anger on the sons of the Enemy and law-breakers.ʺ											
proliju	пролию	proliju	proleja	Vmip1se		127	2	0	root															
gnevь`+	гневь̀+	gnevъ	gněv	Nmsnn		127	3	2	obj															
moi.	мои.	moi	moi	Amsny		127	4	3	amod	poss														
na	на	na	na	Sa		127	5	6	case					1										
sni	сни	sni	sin	Nmpay		127	6	2	obl															
protivnïe.	противнїе.	protivnie	protiven	Ampay		127	7	6	amod															
i	и	i	i	C		127	8	9	cc															
zakono_prěstupnici.	законо_прѣстꙋпници.	zakonoprěstupnici	zakonoprěstǫpьnik	Nmpny		127	9	6	conj					1		A pl.nom form conjuncted to acc.								
																								
mixàilò	михàило̀	mixailo	Mixail	Nmsoy		128	1	2	nsubj				Michael said:	2										
rče	рче	rče	reka	Vmia3se		128	2	0	root		45v	/img/satan/45v.JPG												
																								
vldko+	влдко+	vldko	vladika	Nfsvy		129	1	8	vocative				ʺO Lord, how can I endure both the heat and the anger of your majesty?ʺ											
da+	да+	da	da	C		129	2	4	aux															
kako+	како+	kako	kako	Pq		129	3	8	advmod															
mogu.	могꙋ.	mogu	moga	Vmip1si		129	4	8	aux															
ja+	ꙗ+	ja	ja	Pp1-sn		129	5	8	nsubj															
i+	и+	i	i	C		129	6	7	cc															
go_reštinu	го_рещинꙋ	goreštinu	goreština	Nfsan		129	7	8	obj					1										
trьpeti.	трьпети.	trъpeti	tъrpja	Vmn---i		129	8	0	root															
i+	и+	i	i	C		129	9	10	cc															
gnevь	гневь	gnevъ	gněv	Nmsnn		129	10	7	conj					1										
blgostine	блгостине	blgostine	blagostina	Nfsdn		129	11	10	nmod															
tvoe.	твое.	tvoe	tvoi	Ansny	Afsdn	129	12	11	amod															
																								
gь+	гь+	gъ	Gospod	Nmsny		130	1	2	nsubj				The Lord said to him:											
rče+	рче+	rče	reka	Vmia3se		130	2	0	root															
emu	емꙋ	emu	toi	Pp3msd		130	3	2	obl	iobj				1										
																								
mixaìle+	михаѝле+	mixaile	Mixail	Nmsvy		131	1	3	vocative				ʺYou have no fear, Michael!ʺ											
ne	не	ne	ne	Qz		131	2	3	advmod															
boi+	бои+	boi	boja	Vmm-2si		131	3	0	root															
se+	се+	se	se	Px---a		131	4	3	expl															
ti.	ти.	ti	ty	Pp2-sd	Pp2-sn	131	5	3	nsubj															
																								
ja+	ꙗ+	ja	ja	Pp1-sn		132	1	3	nsubj				ʺI will send a cold cloud over you.ʺ			Lit. ʺover your topʺ								
ti	ти	ti	ty	Pp2-sd	Pp2-sn	132	2	3	obl	iobj				1										
puštú+	пꙋщꙋ́+	puštu	pustja	Vmip1se		132	3	0	root															
nad+	над+	nad	nad	Sa		132	4	5	case															
vrь`x+	врь̀х+	vrъx	vrъx	Nmsnn		132	5	3	obl															
tvoi.	твои.	tvoi	tvoi	Amsny		132	6	5	amod	poss														
ẅbla_kь	ѡ̈бла_кь	ẅblakъ	oblak	Nmsnn		132	7	3	obj					1										
studenь.	стꙋдень.	studenъ	studen	Amsnn		132	8	7	amod															
																								
togda	тогда	togda	togda	Pr		133	1	3	advmod				Then Michael fell to the feet of the Lord.											
mixài_lo+	михàи_ло+	mixailo	Mixail	Nmsoy		133	2	3	nsubj					1										
pade+	паде+	pade	padna	Vmia3se		133	3	0	root															
na+	на+	na	na	Sa		133	4	5	case															
nozi.	нози.	nozi	noga	Nmpnn	Nfdnn	133	5	3	obl							Formally, the ending looks like a m.pl.nom - the expected f.pl would be <i>nogy</i>, dual <i>noźě</i>.								
vladične	владичне	vladične	vladičen	Afdnn		133	6	5	amod	poss				1										
																								
i+	и+	i	i	C		134	1	2	cc				And He stretched His most holy hand.											
prostrè+	прострѐ+	prostre	prostra	Vmia3se		134	2	0	root															
ruku+	рꙋкꙋ+	ruku	rъka	Nfsan		134	3	2	obj															
svoju.	свою.	svoju	svoi	Afsay		134	4	3	amod	poss														
prě_svètù+	прѣ_свѐтꙋ̀+	prěsvetu	presvęt	Afsan		134	5	3	amod					1										
																								
i+	и+	i	i	C		135	1	2	cc				And He placed (the hand) on the head of Michael,											
postavi+	постави+	postavi	postavja	Vmia3se		135	2	0	root															
na+	на+	na	na	Sa		135	3	4	case															
gla_vu.	гла_вꙋ.	glavu	glava	Nfsan		135	4	2	obl					1										
mixàilovù+	михàиловꙋ̀+	mixailovu	Mixailov	Afsan		135	5	4	amod	poss														
jako	ꙗко	jako	jako (2)	C		135	6	8	mark				so that he would burn the head of the Antichrist,											
da	да	da	da	C		135	7	6	fixed															
sь_žetь+	сь_жеть+	sъžetъ	sъžešti	Vmip3se		135	8	2	advcl					1										
glàvú.	глàвꙋ́.	glavu	glava	Afsan		135	9	8	obj															
antixrьso_vu	антихрьсо_вꙋ	antixrъsovu	Antixristov	Afsan		135	10	9	amod	poss				1										
i+	и+	i	i	C		135	11	13	cc				and all his power.											
vsú	всꙋ́	vsu	vse	Afsan		135	12	13	amod	det														
silu+	силꙋ+	silu	sila	Nfsan		135	13	9	conj															
ego.	его.	ego	toi	Pp3msg		135	14	13	nmod	poss														
																								
togda	тогда	togda	togda	Pr		136	1	3	advmod				Then, Michael was blessed by the Lord, the King.									5	Descent of Michael	
mi_xailo	ми_хаило	mixailo	Mixail	Nmsoy		136	2	3	nsubj					1										
blgoslovi+	блгослови+	blgoslovi	blagoslovja	Vmia3se		136	3	0	root															
se	се	se	se	Px---a		136	4	3	expl															
u+	ꙋ+	u	u	Sg		136	5	6	case															
vldke	влдке	vldke	vladika	Nfsdn		136	6	3	obl					1										
cra..	цра..	cra	car	Nmsgy		136	7	6	appos															
																								
i+	и+	i	i	C		137	1	2	cc				And he descended to the 2nd heaven.											
sьnide+	сьниде+	sъnide	sъniti	Vmia3se		137	2	0	root															
na	на	na	na	Sa		137	3	5	case															
*v*ro+	·в·ро+	*v*ro	vtori	Ansnn	Mc	137	4	5	amod															
nbo	нбо	nbo	nebe	Nnsnn		137	5	2	obl					1										
																								
i+	и+	i	i	C		138	1	2	cc				And he took his deadly sword.											
ze	зе	ze	zema	Vmia3se		138	2	0	root															
sьmrь`tosni	сьмрь̀тосни	sъmrъtosni	smъrtonosen	Amsny		138	3	4	amod															
mačь`+	мачь̀+	mačъ	meč	Nmsnn		138	4	2	obj															
sv_oi.	св_ои.	svoi	svoi	Amsny		138	5	4	amod	poss				1										
																								
i+	и+	i	i	C		139	1	2	cc				And he sharpened it.											
naẅstri+	наѡ̈стри+	naẅstri	naostrja	Vmia3se		139	2	0	root															
ego.	его.	ego	toi	Pp3msg		139	3	2	obj															
																								
i+	и+	i	i	C		140	1	2	cc				And he spread his wings (to) 40 cubits in width.											
pro_stri+	про_стри+	prostri	prostra	Vmip3se	Vmm-2se	140	2	0	root					1		Formally reflects the imperative form, or a shortened 3sg.prs: the expected aorist would be <i>prostrě</i>, as seen above (with a Serbian reflex of the jat).								
krili+	крили+	krili	krilo	Nnpnn		140	3	2	obj							A dl.nom/acc <i>krilu</i> or pl. <i>krila</i> would be expected.								
svoi	свои	svoi	svoi	Andnn		140	4	3	amod	poss														
*m*	·м·	*m*	40	Mc		140	5	6	nummod															
laka_tь+	лака_ть+	lakatъ	lakъt	Nmsnn		140	6	2	obl					1										
vь+	вь+	vъ	v	Sa		140	7	8	case															
širinu.	ширинꙋ.	širinu	širina	Nfsnn		140	8	6	nmod															
																								
i+	и+	i	i	C		141	1	2	cc				And he blew his trumpet.											
potrubi.	потрꙋби.	potrubi	potrǫbiti	Vmia3se		141	2	0	root					2										
truboju	трꙋбою	truboju	trъba	Nfsin		141	3	2	obl		46r	/img/satan/46r.JPG												
svoeju.	своею.	svoeju	svoi	Afsiy		141	4	3	amod	poss														
																								
i	и	i	i	C		142	1	2	cc				And he flapped his wing(s).											
trepe_tnu.	трепе_тнꙋ.	trepetnu	trepna	Vmia3se		142	2	0	root					1										
kriwm+	криѡм+	kriom	krilo	Nnsin		142	3	2	obl															
svoima	своима	svoima	svoi	Anddn		142	4	3	amod	poss														
																								
i+	и+	i	i	C		143	1	2	cc				And he descended from the heights of the heavens.											
pode	поде	pode	poida	Vmia3se		143	2	0	root					1										
sь+	сь+	sъ	iz	Sg		143	3	5	case															
nbsьnix	нбсьних	nbsъnix	nebesen	Afpgy		143	4	5	amod															
visotь.	висоть.	visotъ	visota	Nfpgn		143	5	2	obl	abl														
																								
i+	и+	i	i	C		144	1	10	cc				And from his descent and the voice (sound?) of his wings, the heavens stepped away.											
wt+	ѿ+	ot	ot	Sg		144	2	3	case															
sьxo_ždenïja	сьхо_жденїꙗ	sъxoždenija	sъxoždenie	Nnsgn		144	3	10	obl					1										
ego.	его.	ego	toi	Pp3msg		144	4	3	nmod	poss														
i+	и+	i	i	C		144	5	7	cc															
wt+	ѿ+	ot	ot	Sg		144	6	7	case															
glas+	глас+	glas	glas	Nmsnn		144	7	3	conj															
krilú+	крилꙋ́+	krilu	krilo	Nndgn		144	8	7	nmod	poss														
ego	его	ego	toi	Pp3msg		144	9	8	nmod	poss				1										
rastúpaxu+	растꙋ́пахꙋ+	rastupaxu	razstъpvam	Vmii3pi		144	10	0	root															
se.	се.	se	se	Px---a		144	11	10	expl															
nbsa+	нбса+	nbsa	nebe	Nnpnn		144	12	10	nsubj															
																								
i+	и+	i	i	C		145	1	2	cc				And the Earth became afraid.											
úboja+	ꙋ́боꙗ+	uboja	uboja	Vmia3se		145	2	0	root															
se	се	se	se	Px---a		145	3	2	expl					1										
zemlà+	землà+	zemla	zemlja	Nfsnn		145	4	2	nsubj															
																								
i+	и+	i	i	C		146	1	2	cc				And the seas ran away.											
pobeže.	побеже.	pobeže	poběgna	Vmia3se		146	2	0	root															
mórь+	мо́рь+	morъ	more	Nnpgn		146	3	2	nsubj							Punčo: <i>i more+to pobegna</i>								
																								
i+	и+	i	i	C		147	1	4	cc				And the bottomless depths were shaken.											
glь_bine	гль_бине	glъbine	glǫbina	Nfpnn		147	2	4	nsubj					1										
bezdani	бездани	bezdani	bezdъnen	Afpnn		147	3	2	amod															
potrьsoše+	потрьсоше+	potrъsoše	potresa	Vmia3pe		147	4	0	root															
se	се	se	se	Px---a		147	5	4	expl					1										
																								
i	и	i	i	C		148	1	3	cc				And Antichrist sat on his throne.											
antixrьstь+	антихрьсть+	antixrъstъ	Antixrist	Nmsny		148	2	3	nsubj															
sděše+	сдѣше+	sděše	sedja	Vmii3si		148	3	0	root															
na+	на+	na	na	Sl		148	4	5	case															
prě_stoli	прѣ_столи	prěstoli	prestol	Nmsln		148	5	3	obl	loc				1										
svoemь.	своемь.	svoemъ	svoi	Amsly		148	6	5	amod	poss														
																								
i+	и+	i	i	C		149	1	2	cc				And he was shoved down.											
smete+	смете+	smete	smeta	Vmia3se		149	2	0	root															
se	се	se	se	Px---a		149	3	2	expl					1										
																								
i	и	i	i	C		150	1	2	cc				And he said:											
rče+	рче+	rče	reka	Vmia3se		150	2	0	root															
																								
čto	что	čto	čto	Pq		151	1	2	nsubj				ʺWhat was (that)?ʺ											
bi	би	bi	bъda	Vmia3se		151	2	0	root															
																								
jako	ꙗко	jako	jako	R		152	1	2	advmod				ʺThe earth shoke so much today!ʺ											
potrese	потресе	potrese	potresa	Vmia3se		152	2	0	root															
se	се	se	se	Px---a		152	3	2	expl					1										
zemlà+	землà+	zemla	zemlja	Nfsnn		152	4	2	nsubj															
dnsь.	днсь.	dnsъ	dnes	R		152	5	2	advmod															
																								
čto+	что+	čto	čto	Pq		153	1	3	nsubj				ʺWhat would that be?ʺ											
li+	ли+	li	li	Qq		153	2	3	advmod															
jes+	ѥс+	jes	sъm	Vmip3si		153	3	0	root															
																								
jako+	ꙗко+	jako	jako (2)	C		154	1	3	mark				ʺAs the sea ran (?)ʺ											
mo_rь+	мо_рь+	morъ	more	Nnpgn		154	2	3	advcl					1										
pobeže.	побеже.	pobeže	poběgna	Vmia3se		154	3	0	root															
																								
egda+	егда+	egda	egda	Pr		155	1	2	mark				ʺIf (?) there is an anger from the Highest Father, would He go alone to war?ʺ											
jes+	ѥс+	jes	sъm	Vmip3si		155	2		advcl															
