text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc
																	
ī+	ⰺ₊	i	i	C		41	1	7	cc				And we bring you this gift in love				
vъ+	ⰲⱏ₊	vъ	v	Sa		41	2	3	case								
ljubъvь	ⰾⱓⰱⱏⰲⱐ	ljubъvъ	ljubov	Nfsan		41	3	7	obl								
darъ+	ⰴⰰⱃⱏ₊	darъ	dar	Nmsnn		41	4	7	obj								
sь+	ⱄⱐ₊	sъ	sii	Pd-msn		41	5	4	det	p_nom							
té_bě	ⱅⰵ́_ⰱⱑ	tebě	ty	Pp2-sd		41	6	7	obl	iobj				1			
prïnosïmъ:	ⱂⱃⰹⱀⱁⱄⰹⰿⱏ:	prinosimъ	prinosja	Vmip1pi		41	7	0	root								
																	
gmь:.	ⰳⰿⱐ:.	gmъ	glagolati	Vmip1pi		42	1	0	root				We say (...)	2			
																	
prěѳaciě:	ⱂⱃⱑⱚⰰⱌⰻⱑ:	prěѳaciě	prěfacia	Nfsnn		43	1	0	root		3r	/img/kiev/kf_3r.jpg	[Title] Preface				
																	
věčьnъ^ï	ⰲⱑⱍⱐⱀⱏ̂ⰹ	věčъny	večen	Amsny		44	1	2	amod				O eternal God, we pray you by your heavenly power				
bže:	ⰱⰶⰵ:	bže	bog	Nmsvy		44	2	6	vocative					1			
Nebesьskъiˇję	Ⱀⰵⰱⰵⱄⱐⱄⰽⱏⰻ̆ⱗ	nebesъskyję	nebeski	Afpny	Afsgy	44	3	5	amod								
tvóję	ⱅⰲⱁ́ⱗ	tvoję	tvoi	Afpny		44	4	5	amod	poss							
silъ^i	ⱄⰻⰾⱏ̂ⰻ	sily	sila	Nfpnn	Nfsgn	44	5	6	obj					1			
prosi´mъ	ⱂⱃⱁⱄⰻ́ⰿⱏ	prosimъ	prosja	Vmip1pi		44	6	0	root								
																	
ʾī+	҆ⰺ₊	i	i	C		45	1	2	cc								
mólïmъ.	ⰿⱁ́ⰾⰹⰿⱏ.	molimъ	molja	Vmip1pi		45	2	0	root								
																	
da`+	ⰴⰰ̀₊	da	da	C		46	1	6	aux	opt			May you make us worthy with your higher (powers)				
sъ	ⱄⱏ	sъ	s	Sl		46	2	4	case					1			
vъíšьnï´mï	ⰲⱏⰻ́ⱎⱐⱀⰹ́ⰿⰹ	vyšъnimi	vyšen	A-piy		46	3	6	obl								
tvoïmï.	ⱅⰲⱁⰹⰿⰹ.	tvoimi	tvoi	A-piy		46	4	3	amod	poss							
do_stoʾïnъi	ⰴⱁ_ⱄⱅⱁ҆ⰹⱀⱏⰻ	dostoiny	dostoen	Ampan	Afpnn	46	5	6	obl	pred				1			
sъtvorïšï	ⱄⱏⱅⰲⱁⱃⰹⱎⰹ	sъtvoriši	sъtvorja	Vmip2se		46	6	0	root								
nъi`:	ⱀⱏⰻ̀:	ny	nie	Pp1-pa		46	7	6	obj								
																	
ʾī	҆ⰺ	i	i	C		47	1	6	cc				And may you mercifully grant us your eternal (...), which we crave for	1			
věčьnáě	ⰲⱑⱍⱐⱀⰰ́ⱑ	věčъnaě	večen	Anpnn		47	2	6	obj								
tvóě	ⱅⰲⱁ́ⱑ	tvoě	tvoi	Anpnn		47	3	2	amod	poss							
ʾīxъže	҆ⰺⱈⱏⰶⰵ	ixъže	iže	Pr-npg		47	4	5	mark								
žjęda_emъ+	ⰶⱗⰴⰰ_ⰵⰿⱏ₊	žjędaemъ	žędati	Vmip1pi		47	5	2	acl					1			
podaˇsь	ⱂⱁⰴⰰ̆ⱄⱐ	podasъ	podam	Vmm-2se		47	6	0	root								
námъ	ⱀⰰ́ⰿⱏ	namъ	nie	Pp1-pd		47	7	6	obl	iobj							
mīlostï_vьno:	ⰿⰺⰾⱁⱄⱅⰹ_ⰲⱐⱀⱁ:	milostivъno	milostivno	R		47	8	6	advmod					1			
																	
xmь+	ⱈⰿⱐ₊	xmъ	xvalja	Vmip1pi		48	1	0	root				We praise				
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		49	1	0	root				We say to our (...)				
nášïmь.	ⱀⰰ́ⱎⰹⰿⱐ.	našimъ	naš	A-pdy		49	2	1	obl	iobj:poss							
ʾīmъ	҆ⰺⰿⱏ	imъ	tě	Pp3-pd		49	3	1	discourse					1			
																	
po	ⱂⱁ	po	po	Sl		50	1	2	case				[Title] After the communion				
vъ_sǫ_dě:.	ⰲⱏ_ⱄⱘ_ⰴⱑ:.	vъsǫdě	vъsǫd	Nmsln		50	2	0	root					1			
																	
Prósïmъ+	Ⱂⱃⱁ́ⱄⰹⰿⱏ₊	prosimъ	prosja	Vmip1pi		51	1	0	root				We pray you, o Lord, may you grant us:				
tję	ⱅⱗ	tję	ty	Pp2-sa		51	2	1	obj								
gï	ⰳⰹ	gi	Gospod	Nmsvi		51	3	1	vocative								
																	
dazь+	ⰴⰰⰸⱐ₊	dazъ	dam	Vmm-2se		52	1	0	root								
námъ.	ⱀⰰ́ⰿⱏ.	namъ	nie	Pp1-pd		52	2	1	obl	iobj				1			
																	
da`+	ⰴⰰ̀₊	da	da	C		53	1	6	aux	opt			May we, having accepted you holy communion, will be worthy of your purification				
svję´tъ^ï	ⱄⰲⱗ́ⱅⱏ̂ⰹ	svjęty	svęt	Amsny		53	2	4	amod								
tvoï	ⱅⰲⱁⰹ	tvoi	tvoi	Amsny		53	3	4	amod	poss							
vъsǫdъ	ⰲⱏⱄⱘⰴⱏ	vъsǫdъ	vъsǫd	Nmsnn		53	4	6	obj					1			
prïemljǫce	ⱂⱃⰹⰵⰿⰾⱙⱌⰵ	priemljǫce	priema	Vmpp-pea	Ampnn	53	5	6	advcl								
dóstoïnï+	ⰴⱁ́ⱄⱅⱁⰹⱀⰹ₊	dostoini	dostoen	Ampnn		53	6	0	root								
bǫ^_demъ	ⰱⱘ̂_ⰴⰵⰿⱏ	bǫdemъ	bъda	Vmip1pe		53	7	6	cop					1			
ʾočï´ščeníě	҆ⱁⱍⰹ́ⱎⱍⰵⱀⰻ́ⱑ	očiščeniě	očištenie	Nnsgn		53	8	6	obl								
tvoego.	ⱅⰲⱁⰵⰳⱁ.	tvoego	tvoi	Ansgy		53	9	8	amod	poss				1			
																	
ʾī+	҆ⰺ₊	i	i	C		54	1	7	cc				And may your faith grows in us				
vě´ra+	ⰲⱑ́ⱃⰰ₊	věra	věra	Nfsnn		54	2	7	nsubj								
tvoě	ⱅⰲⱁⱑ	tvoě	tvoi	Afsny		54	3	2	amod	poss							
vъ+	ⰲⱏ₊	vъ	v	Sl		54	4	5	case								
násъ	ⱀⰰ́ⱄⱏ	nasъ	nas	Pp1-pg		54	5	7	obl	loc							
da	ⰴⰰ	da	da	C		54	6	7	aux	opt							
vъ_zdraˇstetъ:	ⰲⱏ_ⰸⰴⱃⰰ̆ⱄⱅⰵⱅⱏ:	vъzdrastetъ	vъzdrastiti	Vmip3se		54	7	0	root					1			
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		55	1	0	root				We say to our (...)				
našïmь	ⱀⰰⱎⰹⰿⱐ	našimъ	naš	A-pdy		55	2	1	obl	iobj:poss							
ism	ⰻⱄⰿ	ism	Isus	N		55	3	1	discourse					1			
																	
[ж]	[ж]	ж	(...)	X		56	1	0	root				(?)				
																	
mьšě	ⰿⱐⱎⱑ	mъšě	mьša	Nfsnn		57	1	0	root				[Title] Mass 2: About the same				
*b*	·ⰱ·	*b*	2	Mc		57	2	1	nummod								
ʾo	҆ⱁ	o	o (2)	Sl		57	3	1	case								
tomьze:.	ⱅⱁⰿⱐⰸⰵ:.	tomъze	tъžde	Pr-msl		57	4	1	nmod	ext				1			
																	
Prosïmъ+	Ⱂⱃⱁⱄⰹⰿⱏ₊	prosimъ	prosja	Vmip1pi		58	1	0	root				We pray you, o eternal God				
tję	ⱅⱗ	tję	ty	Pp2-sa		58	2	1	obj								
vьsemogъ^ï	ⰲⱐⱄⰵⰿⱁⰳⱏ̂ⰹ	vъsemogy	vъsemog	Amsny		58	3	5	amod								
vě_čьnъ^ï+	ⰲⱑ_ⱍⱐⱀⱏ̂ⰹ₊	věčъny	veče	Amsny		58	4	5	amod					1			
bže.	ⰱⰶⰵ.	bže	bog	Nmsvy		58	5	1	vocative								
																	
prïzьrï	ⱂⱃⰹⰸⱐⱃⰹ	prizъri	prizra	Vmm-2se		59	1	0	root				Watch our prayer				
na+	ⱀⰰ₊	na	na	Sa		59	2	3	case								
mo_lïtvǫ+	ⰿⱁ_ⰾⰹⱅⰲⱘ₊	molitvǫ	molitva	Nfsan		59	3	1	obl	lat				1			
našǫ.	ⱀⰰⱎⱘ.	našǫ	naš	Afsan		59	4	3	amod	poss							
																	
ʾī+	҆ⰺ₊	i	i	C		60	1	4	cc				And purify us from the inside, which is dried by our sins				
vъnǫ_trьněě+	ⰲⱏⱀⱘ_ⱅⱃⱐⱀⱑⱑ₊	vъnǫtrъněě	vъnǫtren	Anpny		60	2	4	obj					1			
našě	ⱀⰰⱎⱑ	našě	naš	Anpnn		60	3	2	amod	poss							
ʾočïstï.	҆ⱁⱍⰹⱄⱅⰹ.	očisti	očistja	Vmm-2se		60	4	0	root								
ʾěžo	҆ⱑⰶⱁ	ěžo	iže	Pr-nsn		60	5	7	mark					1			
nъi`	ⱀⱏⰻ̀	ny	nie	Pp1-pa		60	6	7	obj								
sušjętъ	ⱄⱆⱎⱗⱅⱏ	sušjętъ	suša	Vmip3pi		60	7	2	acl								
grěxъ^i	ⰳⱃⱑⱈⱏ̂ⰻ	grěxy	grěx	Nmpan		60	8	7	obl								
našï_mï:	ⱀⰰⱎⰹ_ⰿⰹ:	našimi	naš	A-piy		60	9	8	amod	poss				1			
																	
da`+	ⰴⰰ̀₊	da	da	C		61	1	4	aux	opt			May you free us by your mercy				
mïlostïjǫ	ⰿⰹⰾⱁⱄⱅⰹⱙ	milostijǫ	milost	Nfsin		61	2	4	obl								
tvoe_jǫ	ⱅⰲⱁⰵ_ⱙ	tvoejǫ	tvoi	Afsiy		61	3	2	amod	poss				1			
ʾīzbavï+	҆ⰺⰸⰱⰰⰲⰹ₊	izbavi	izbavja	Vmm-2se	Vmia3se	61	4	0	root								
nъi:	ⱀⱏⰻ:	ny	nie	Pp1-pa		61	5	4	obj								
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		62	1	0	root				We say to our (...)				
našï	ⱀⰰⱎⰹ	naši	naš	Ampnn		62	2	1	obl	iobj:poss				1			
																	
na_dъ	ⱀⰰ_ⰴⱏ	nadъ	nad	Si		63	1	2	case				[Title] Over Eucharist				
ʾoplatъmъ:	҆ⱁⱂⰾⰰⱅⱏⰿⱏ:	oplatъmъ	oplat	Nmsin		63	2	0	root					2			
																	
Sъï+	Ⱄⱏⰹ₊	sy	sii	Pd-msn		64	1	2	det	ext	3v	/img/kiev/kf_3v.jpg	We pray you, o Lord, accept this this offering brought to you				
prïnosъ	ⱂⱃⰹⱀⱁⱄⱏ	prinosъ	prinos	Nmsnn		64	2	8	obj								
prïnesenъ^ï	ⱂⱃⰹⱀⰵⱄⰵⱀⱏ̂ⰹ	prineseny	prinesa	Vmpa-se	Amsny	64	3	2	acl								
tébě`	ⱅⰵ́ⰱⱑ̀	tebě	ty	Pp2-sd		64	4	3	obl	iobj				1			
gï	ⰳⰹ	gi	Gospod	Nmsvi		64	5	6	vocative								
prosïmъ+	ⱂⱃⱁⱄⰹⰿⱏ₊	prosimъ	prosja	Vmip1pi		64	6	0	root								
tję+	ⱅⱗ₊	tję	ty	Pp2-sa		64	7	6	obj								
prïīmï^:	ⱂⱃⰹⰺⰿⰹ̂:	priimi	priema	Vmm-2se		64	8	6	advcl								
ʾī_že	҆ⰺ_ⰶⰵ	iže	iže	Pr-msn		64	9	11	mark				which you have blessed for our salvation	1			
ésï	ⰵ́ⱄⰹ	esi	sъm	Vaip2si		64	10	11	aux	prf							
blagoslovestïlъ	ⰱⰾⰰⰳⱁⱄⰾⱁⰲⰵⱄⱅⰹⰾⱏ	blagoslovestilъ	blagoslovestiti	Vmp--se	Amsnn	64	11	2	acl					1		Miklosich: <i>blagoslovestiti</i> 'eulogein, bene dicere'	
na+	ⱀⰰ₊	na	na	Sa		64	12	13	case								
sъpaseníe+	ⱄⱏⱂⰰⱄⰵⱀⰻ́ⰵ₊	sъpasenie	spasenie	Nnsnn		64	13	11	obl	iobj							
naše:	ⱀⰰⱎⰵ:	naše	naš	Ansnn		64	14	13	amod	poss							
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		65	1	0	root				We say to our (...)				
našï.	ⱀⰰⱎⰹ.	naši	naš	Ampnn		65	2	1	obl	iobj:poss				1			
																	
prěѳa_ciě:	ⱂⱃⱑⱚⰰ_ⱌⰻⱑ:	prěѳaciě	prěfacia	Nfsnn		66	1	0	root				[Title] Preface				
do+	ⰴⱁ₊	do	do	I		66	2	1	discourse								
																	
věčьn	ⰲⱑⱍⱐⱀ	věčъn	večen	Amsnn		67	1	2	amod				O eternal God, may us hold this for you				
bže:	ⰱⰶⰵ:	bže	bog	Nmsvy		67	2	6	vocative					1			
Da+	Ⰴⰰ₊	da	da	C		67	3	6	aux	opt							
sję	ⱄⱗ	sję	se	Px---a		67	4	6	expl								
tebe+	ⱅⰵⰱⰵ₊	tebe	ty	Pp2-sg		67	5	6	obl								
drьžïmъ	ⰴⱃⱐⰶⰹⰿⱏ	drъžimъ	dъrža	Vmip1pi		67	6	0	root								
																	
ʾī+	҆ⰺ₊	i	i	C		68	1	4	cc				And we pray for your mercy				
mïlo_stï+	ⰿⰹⰾⱁ_ⱄⱅⰹ₊	milosti	milost	Nfsgi		68	2	4	obl					1			
tvoeję^+	ⱅⰲⱁⰵⱗ̂₊	tvoeję	tvoi	Afsgy		68	3	2	amod	poss							
prosïmъ:	ⱂⱃⱁⱄⰹⰿⱏ:	prosimъ	prosja	Vmip1pi		68	4	0	root								
																	
prï_zъvalъ+	ⱂⱃⰹ_ⰸⱏⰲⰰⰾⱏ₊	prizъvalъ	prizva	Vmp--se	Amsnn	69	1	0	root				You have called us, o Lord,	1			
nъi	ⱀⱏⰻ	ny	nie	Pp1-pa		69	2	1	obj								
ési+	ⰵ́ⱄⰻ₊	esi	sъm	Vaip2si		69	3	1	aux	prf							
gï.	ⰳⰹ.	gi	Gospod	Nmsvi		69	4	1	vocative								
da`+	ⰴⰰ̀₊	da	da	C		69	5	6	mark				to set us straight and purify us not because of our works				
ʾispra_vï	҆ⰻⱄⱂⱃⰰ_ⰲⰹ	ispravi	izpravja	Vmm-2se	Vmia3se	69	6	1	advcl					1		< *<i>ispraviši</i> ? *<i>ispravitъ</i> ? or a shortened infinitive? <br/>An unclear construction after <i>da</i>.	
nъi	ⱀⱏⰻ	ny	nie	Pp1-pa		69	7	6	obj								
ʾī+	҆ⰺ₊	i	i	C		69	8	9	cc								
ʾočïstï:	҆ⱁⱍⰹⱄⱅⰹ:	očisti	očistja	Vmm-2se		69	9	6	conj								
ne+	ⱀⰵ₊	ne	ne	Qz		69	10	12	amod								
nášï_xъ+	ⱀⰰ́ⱎⰹ_ⱈⱏ₊	našixъ	naš	A-pgy		69	11	12	amod	poss				1			
dělъ^	ⰴⱑⰾⱏ̂	dělъ	dělo	Nnpgn		69	12	6	obl								
radï.	ⱃⰰⰴⰹ.	radi	radi	Sg		69	13	12	case								
nъ+	ⱀⱏ₊	nъ	nъ	C		69	14	15	cc				but because of your sacrifice, which you have offered for us				
ʾoběta+	҆ⱁⰱⱑⱅⰰ₊	oběta	obět	Nmsgi		69	15	12	conj								
tvo_ego+	ⱅⰲⱁ_ⰵⰳⱁ₊	tvoego	tvoi	Amsgy		69	16	15	amod					1			
radi	ⱃⰰⰴⰻ	radi	radi	Sg		69	17	15	case								
ʾīže+	҆ⰺⰶⰵ₊	iže	iže	Pr-msn		69	18	20	mark								
ʾésï	҆ⰵ́ⱄⰹ	esi	sъm	Vaip2si		69	19	20	aux	prf							
ʾoběcělъ	҆ⱁⰱⱑⱌⱑⰾⱏ	oběcělъ	oběštam	Vmp--se	Amsnn	69	20	15	acl					1			
námъ:	ⱀⰰ́ⰿⱏ:	namъ	nie	Pp1-pd		69	21	20	obl	iobj							
																	
da+	ⰴⰰ₊	da	da	C		70	1	2	aux	opt			May we are able with our souls and bodies to accept your commandements, which you have sent to us				
vъzmožemъ	ⰲⱏⰸⰿⱁⰶⰵⰿⱏ	vъzmožemъ	vъzmoga	Vmip1pe		70	2	0	root								
du_šěmï	ⰴⱆ_ⱎⱑⰿⰹ	dušěmi	duša	Nfpiy		70	3	2	obl					1			
ʾī+	҆ⰺ₊	i	i	C		70	4	5	cc								
tělesъ^i	ⱅⱑⰾⰵⱄⱏ̂ⰻ	tělesy	tělo	Nnpin		70	5	3	conj								
ʾī+	҆ⰺ₊	i	i	C		70	6	7	cc								
mъislь_mï	ⰿⱏⰻⱄⰾⱐ_ⰿⰹ	myslъmi	misъl	Nfpin		70	7	5	conj					1			
našïmī.	ⱀⰰⱎⰹⰿⰺ.	našimi	naš	A-piy		70	8	3	amod	poss							
prïjęti+	ⱂⱃⰹⱗⱅⰻ₊	prijęti	priema	Vmn---e		70	9	2	advcl								
zapo_[v]ědï+	ⰸⰰⱂⱁ_[ⰲ]ⱑⰴⰹ₊	zapovědi	zapověd	Nfpnn		70	10	9	obj					1			
tvoję.	ⱅⰲⱁⱗ.	tvoję	tvoi	Afpny		70	11	10	amod	poss							
ʾjęže	҆ⱗⰶⰵ	jęže	iže	Pr-fpn		70	12	14	mark								
ʾesï+	҆ⰵⱄⰹ₊	esi	sъm	Vaip2si		70	13	14	aux	prf							
posъ_lalъ+	ⱂⱁⱄⱏ_ⰾⰰⰾⱏ₊	posъlalъ	poslati	Vmp--se	Amsnn	70	14	10	acl					1			
kъ+	ⰽⱏ₊	kъ	k	Sd		70	15	16	case								
namъ:	ⱀⰰⰿⱏ:	namъ	nie	Pp1-pd		70	16	14	obl								
																	
xmь+	ⱈⰿⱐ₊	xmъ	xvalja	Vmip1pi		71	1	0	root				We praise				
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		72	1	0	root				We say to ours, to whom the majesty (...)				
na_šïmь.	ⱀⰰ_ⱎⰹⰿⱐ.	našimъ	naš	A-pdy		72	2	1	obl	iobj:poss				1			
ʾïˇmьže+	҆ⰹ̆ⰿⱐⰶⰵ₊	imъže	iže	Pr--pd		72	3	4	mark								
velïčь:.	ⰲⰵⰾⰹⱍⱐ:.	veličъ	veličьstvo	N		72	4	2	acl					1			
																	
po	ⱂⱁ	po	po	Sl		73	1	2	case				[Title] After the communion				
vъsǫ_dě:.	ⰲⱏⱄⱘ_ⰴⱑ:.	vъsǫdě	vъsǫd	Nmsln		73	2	0	root					1			
																	
Svjętъ^ï	Ⱄⰲⱗⱅⱏ̂ⰹ	svjęty	svęt	Amsny		74	1	3	amod				O Lord, we pray you, may your holy communion, which we have taken, will purify us from our sins				
tvoï	ⱅⰲⱁⰹ	tvoi	tvoi	Amsny		74	2	3	amod	poss							
vъsǫdъ	ⰲⱏⱄⱘⰴⱏ	vъsǫdъ	vъsǫd	Nmsnn		74	3	11	nsubj					1			
gï	ⰳⰹ	gi	Gospod	Nmsvi		74	4	8	vocative								
īže	ⰺⰶⰵ	iže	iže	Pr-msn		74	5	7	mark								
ésmъ	ⰵ́ⱄⰿⱏ	esmъ	sъm	Vaip1pi		74	6	7	aux	prf							
vъzjęlï+	ⰲⱏⰸⱗⰾⰹ₊	vъzjęli	vzema	Vmp--pe	A-pnn	74	7	3	acl								
mo_lïmъ+	ⰿⱁ_ⰾⰹⰿⱏ₊	molimъ	molja	Vmip1pi		74	8	0	root					1			
tję.	ⱅⱗ.	tję	ty	Pp2-sa		74	9	8	obj								
da	ⰴⰰ	da	da	C		74	10	11	mark								
ʾočïstitъ	҆ⱁⱍⰹⱄⱅⰻⱅⱏ	očistitъ	očistja	Vmip3se		74	11	8	advcl					1			
n[ъi]	ⱀ[ⱏⰻ]	ny	nie	Pp1-pa		74	12	11	obj								
ʾotъ+	҆ⱁⱅⱏ₊	otъ	ot	Sg		74	13	14	case								
grěxъ^+	ⰳⱃⱑⱈⱏ̂₊	grěxъ	grěx	Nmpgn		74	14	11	obl								
našïxъ:	ⱀⰰⱎⰹⱈⱏ:	našixъ	naš	A-pgy		74	15	14	amod	poss							
ʾī	҆ⰺ	i	i	C		74	16	20	cc				And may it brings us to the heavenly love	1			
[kъ	[ⰽⱏ	kъ	k	Sd		74	17	19	case								
neb]esьcěi`	ⱀⰵⰱ]ⰵⱄⱐⱌⱑⰻ̀	nebesъcěi	nebeski	Afsdy		74	18	19	amod								
ljubъvï	ⰾⱓⰱⱏⰲⰹ	ljubъvi	ljubov	Nfsdn		74	19	20	obl					1			
[prive]detъ+	[ⱂⱃⰻⰲⰵ]ⰴⰵⱅⱏ₊	privedetъ	priveda	Vmip3se		74	20	11	conj								
nъ´i:	ⱀⱏ́ⰻ:	ny	nie	Pp1-pa		74	21	20	obj								
																	
gmь+	ⰳⰿⱐ₊	gmъ	glagolati	Vmip1pi		75	1	0	root				We say to our (...)				
našï	ⱀⰰⱎⰹ	naši	naš	Ampnn		75	2	1	obl	iobj:poss				2			
																	
mьšě	ⰿⱐⱎⱑ	mъšě	mьša	Nfsnn		76	1	0	root		4r	/img/kiev/kf_4r.jpg	[Title] Mass 3 about the same				
*v*	·ⰲ·	*v*	3	Mc		76	2	1	nummod								
o+	ⱁ₊	o	o (2)	Sl		76	3	4	case								
tomьze:	ⱅⱁⰿⱐⰸⰵ:	tomъze	tъžde	Pr-msl		76	4	1	nmod	ext				1			
																	
Prosïˇmъ+	Ⱂⱃⱁⱄⰹ̆ⰿⱏ₊	prosimъ	prosja	Vmip1pi		77	1	0	root				We pray you, o all-powerful God				
tję	ⱅⱗ	tję	ty	Pp2-sa		77	2	1	obj								
vьsemogъ^ï	ⰲⱐⱄⰵⰿⱁⰳⱏ̂ⰹ	vъsemogy	vъsemog	Amsny		77	3	4	amod					1			
bže	ⰱⰶⰵ	bže	bog	Nmsvy		77	4	1	vocative								
																	
da+	ⰴⰰ₊	da	da	C		78	1	4	advcl				Purify us from all our evils by your mercy, as we are saddened by our sins				
ʾěkože	҆ⱑⰽⱁⰶⰵ	ěkože	jakože	C		78	2	4	fixed								
ésmъ+	ⰵ́ⱄⰿⱏ₊	esmъ	sъm	Vmip1pi		78	3	4	cop								
skrъbьnï	ⱄⰽⱃⱏⰱⱐⱀⰹ	skrъbъni	skъrben	Ampnn		78	4	0	root					1			
grěxъi+	ⰳⱃⱑⱈⱏⰻ₊	grěxy	grěx	Nmpan		78	5	4	obl								
našïmī:	ⱀⰰⱎⰹⰿⰺ:	našimi	naš	A-piy		78	6	5	amod	poss							
																	
mïlostь_jǫ+	ⰿⰹⰾⱁⱄⱅⱐ_ⱙ₊	milostъjǫ	milost	Nfsii		79	1	7	obl					1			
tvoejǫ	ⱅⰲⱁⰵⱙ	tvoejǫ	tvoi	Afsiy		79	2	1	amod	poss							
ʾotъ+	҆ⱁⱅⱏ₊	otъ	ot	Sg		79	3	5	case								
vьsěxъ+	ⰲⱐⱄⱑⱈⱏ₊	vъsěxъ	vse	Anpgy		79	4	5	amod	det							
zъ_liï	ⰸⱏ_ⰾⰻⰹ	zъlii	zlo	Nnpgn		79	5	7	obl	abl				1			
našïxъ	ⱀⰰⱎⰹⱈⱏ	našixъ	naš	A-pgy		79	6	5	amod	poss							
ʾočïstï+	҆ⱁⱍⰹⱄⱅⰹ₊	očisti	očistja	Vmm-2se		79	7	0	root								
nъi:	ⱀⱏⰻ:	ny	nie	Pp1-pa		79	8	7	obj					1			
																	
gmь:.	ⰳⰿⱐ:.	gmъ	glagolati	Vmip1pi		80	1	0	root				We say (...)				
																	
nadъ	ⱀⰰⰴⱏ	nadъ	nad	Si		81	1	2	case				[Title] Over Eucharist				
ʾoplatъmъ	҆ⱁⱂⰾⰰⱅⱏⰿⱏ	oplatъmъ	oplat	Nmsin		81	2	0	root					1			
																	
Prïīmï	Ⱂⱃⰹⰺⰿⰹ	priimi	priema	Vmm-2se		82	1	3	advcl				O Lord, we pray you, accept the offering brought to you for the salvation of humans				
gï	ⰳⰹ	gi	Gospod	Nmsvi		82	2	3	vocative								
prosïmъ+	ⱂⱃⱁⱄⰹⰿⱏ₊	prosimъ	prosja	Vmip1pi		82	3	0	root								
tję+	ⱅⱗ₊	tję	ty	Pp2-sa		82	4	3	obj								
pri_nosъ+	ⱂⱃⰻ_ⱀⱁⱄⱏ₊	prinosъ	prinos	Nmsnn		82	5	3	obj					1			
sь`.	ⱄⱐ̀.	sъ	sii	Pd-msn		82	6	5	det	p_nom							
prïnesenъ^ï+	ⱂⱃⰹⱀⰵⱄⰵⱀⱏ̂ⰹ₊	prineseny	prinesa	Amsny	Vmpa-se	82	7	5	acl								
tébě	ⱅⰵ́ⰱⱑ	tebě	ty	Pp2-sd		82	8	7	obl	iobj				1			
ʾizbavleníě	҆ⰻⰸⰱⰰⰲⰾⰵⱀⰻ́ⱑ	izbavleniě	izbavlenie	Nnsgn		82	9	7	obl								
radï	ⱃⰰⰴⰹ	radi	radi	Sg		82	10	9	case								
člově_čьska.	ⱍⰾⱁⰲⱑ_ⱍⱐⱄⰽⰰ.	člověčъska	človečeski	Ansgn		82	11	9	amod					1			
																	
ʾī+	҆ⰺ₊	i	i	C		83	1	4	cc				And give us health				
sъdravï´e	ⱄⱏⰴⱃⰰⰲⰹ́ⰵ	sъdravie	zdrave	Nnsnn		83	2	4	obj								
námъ	ⱀⰰ́ⰿⱏ	namъ	nie	Pp1-pd		83	3	4	obl	iobj				1			
dazь.	ⰴⰰⰸⱐ.	dazъ	dam	Vmm-2se		83	4	0	root								
																	
ʾī+	҆ⰺ₊	i	i	C		84	1	6	cc				And purify our souls and bodies				
dušję	ⰴⱆⱎⱗ	dušję	duša	Nfpny		84	2	6	obj								
našję	ⱀⰰⱎⱗ	našję	naš	Afpnn		84	3	2	amod	poss							
ʾī+	҆ⰺ₊	i	i	C		84	4	5	cc								
tě_lesa	ⱅⱑ_ⰾⰵⱄⰰ	tělesa	tělo	Nnpnn		84	5	2	conj					1			
ʾočistï.	҆ⱁⱍⰻⱄⱅⰹ.	očisti	očistja	Vmm-2se		84	6	0	root								
																	
ʾa+	҆ⰰ₊	a	a	C		85	1	4	cc				And accept our prayer				
molïtv[ǫ]	ⰿⱁⰾⰹⱅⰲ[ⱘ]	molitvǫ	molitva	Nfsan		85	2	4	obj					1			
našǫ	ⱀⰰⱎⱘ	našǫ	naš	Afsan		85	3	2	amod	poss							
priīmï:	ⱂⱃⰻⰺⰿⰹ:	priimi	priema	Vmm-2se		85	4	0	root								
																	
gmь.	ⰳⰿⱐ.	gmъ	glagolati	Vmip1pi		86	1	0	root				We say (...)				
																	
prěf	ⱂⱃⱑⱇ	prěf	prěfacia	N		87	1	0	root				[Title] Preface	1			
do	ⰴⱁ	do	do	I		87	2	1	discourse								
																	
věčьnъ^ï	ⰲⱑⱍⱐⱀⱏ̂ⰹ	věčъny	večen	Amsny		88	1	2	amod				O eternal God, you are our life				
bže:.	ⰱⰶⰵ:.	bže	bog	Nmsvy		88	2	4	vocative					1			
Tъi+	Ⱅⱏⰻ₊	ty	ty	Pp2-sn		88	3	4	nsubj								
ési+	ⰵ́ⱄⰻ₊	esi	sъm	Vaip2si		88	4	0	root								
životъ+	ⰶⰻⰲⱁⱅⱏ₊	životъ	život	Nmsnn		88	5	4	obl	pred							
nášь	ⱀⰰ́ⱎⱐ	našъ	naš	Amsnn-n		88	6	5	amod	poss							
																	
