text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	alt_page_lat	alt_page_cyr	chunk	chunk_desc	pic_desc
w^drьžímь	ѡ̂дрьжи́мь	odrъžimъ	odъržati	Vmpp-se	Amsnn	24	5	0	root	pass														
bys,	быс,	bys	sъm	Vaia3si		24	6	5	aux	pass														
																								
i+	и+	i	i	C		25	1	3	cc				And he fell down.											
ʾnicь	҆ниць	nicъ	nicь	R		25	2	3	advmod															
pade.	паде.	pade	pasti	Vmia3se		25	3	0	root															
																								
Edin+	Єдин+	Edin	edin	Amsnn		26	1	10	nsubj				Having taken him by the hand, one of those shining men raised him.											
že+	же+	že	že	Qd		26	2	10	cc															
wt+	ѿ+	ot	ot	Sg		26	3	5	case															
wněx+	ѡнѣх+	oněx	on	Pd-msg		26	4	5	det															
moužeʾi	моуже҆и	moužei	mъž	Nmpgy		26	5	1	nmod	abl				1										
světlïix.	свѣтлїих.	světliix	světъl	Ampgy		26	6	5	amod															
ʾémь+	҆е́мь+	emъ	ęti	Vmpa-sia	Amsnn	26	7	10	advcl															
za+	за+	za	za	Sa		26	8	9	case															
roukou	роукоу	roukou	rъka	Nfsan		26	9	10	obl															
vьzdviže+	вьздвиже+	vъzdviže	vъzdvigna	Vmia3se		26	10	0	root															
jego	ѥго	jego	toi	Pp3msg		26	11	10	obj															
																								
î+	и̂+	i	i	C		27	1	2	cc				And he said to him:											
gl҃a+	гл҃а+	gla	glagolati	Vmia3si		27	2	0	root															
kь+	кь+	kъ	k	Sd		27	3	4	case															
njêmou.	нѥ̂моу.	njemou	toi	Pp3fsd		27	4	2	obl					1										
																								
čl҃če	чл҃че	člče	človek	Nmsvy		28	1	3	vocative				ʺO man, do you not fear God,ʺ											
ne+	не+	ne	ne	Qz		28	2	3	advmod															
boiši+	боиши+	boiši	boja	Vmip2si		28	3	0	root															
li+	ли+	li	li	Qq		28	4	3	advmod															
se+	се+	se	se	Px---a		28	5	3	expl															
b҃a,	б҃а,	ba	bog	Nmsdy		28	6	3	obl															
jâko+	ꙗ̂ко+	jako	jako	C		28	7	10	mark				ʺas this body body is holy, and you buried this rotten and stinking corpse with this body of God's servant Parascheva?ʺ											
sïe	сїе	sie	sii	Pd-nsn		28	8	9	det															
tělo+	тѣло+	tělo	tělo	Nnsnn		28	9	10	nsubj															
st҃oê.	ст҃ое̂.	stoe	svęt	Ansny		28	10	3	advcl															
i+	и+	i	i	C		28	11	24	cc															
kako+	како+	kako	kako	Pq		28	12	24	mark															
sïjè	сїѥ̀	sije	sii	Pd-nsn		28	13	14	det					1										
tělo	тѣло	tělo	tělo	Nnsnn		28	14	24	obj															
gniloe	гнилое	gniloe	gnil	Ansny		28	15	14	amod															
î+	и̂+	i	i	C		28	16	17	cc															
smrьdeštejê	смрьдещеѥ̂	smrъdešteje	smъrdja	Ansny	Vmpp-sia	28	17	15	conj															
sь+	сь+	sъ	s	Si		28	18	20	case															
sim+	сим+	sim	sii	Pd-nsi		28	19	20	det															
tělom+	тѣлом+	tělom	tělo	Nnsin		28	20	24	obl															
bž҃ïe	бж҃їе	bžie	božii	Afsgy		28	21	22	amod															
râbŷ+	рâбы̂+	raby	raba	Nfsgy		28	22	20	nmod	poss														
Para_skevîi+	Пара_скеви̂и+	paraskevii	Paraskeva	Nfsgy		28	23	22	appos					1										
pogrebosʾte.	погребос҆те.	pogreboste	pogreba	Vmia2pe		28	24	10	conj															
																								
nьʺ	нь̏	nъ	no	C		29	1	2	cc				ʺBut go now quickly!ʺ											
iˇdi+	йди+	idi	ida	Vmm-2si		29	2	0	root															
nn҃ja	нн҃ꙗ	nnja	nyně	R		29	3	2	advmod															
vь+	вь+	vъ	v	Sl		29	4	5	case															
skorě	скорѣ	skorě	skoro	R		29	5	2	advmod															
																								
i+	и+	i	i	C		30	1	3	cc				ʺAnd tell to everyone, to free me from so much stench!ʺ			Prologue version omits the passage, which makes it clear, when the shining queen starts speaking to George (Vuković 1536: <i>Togda gla emu i světla ona</i>).								
vьsěmь+	вьсѣмь+	vъsěmъ	vse	A-pdy		30	2	3	obl	iobj														
vь_zvěstì.	вь_звѣстѝ.	vъzvěsti	vъzvestja	Vmm-2si		30	3	0	root					1										
da+	да+	da	da	C		30	4	8	mark															
wt	ѿ	ot	ot	Sg		30	5	7	case															
tolikaʺ	толика̏	tolika	tolik	Pr	Ansgn	30	6	7	amod	det														
smrada	смрада	smrada	smrad	Nmsgn		30	7	8	obl	abl														
ʾizbavit+	҆избавит+	izbavit	izbavja	Vmip3se		30	8	3	advcl															
ʾme.	҆ме.	me	az	Pp1-sa		30	9	8	obj															
																								
ʾášte+	҆áще+	ašte	ašte	C		31	1	5	mark				ʺIf you will not do this, be sure, that you are going to die by a fire from God.ʺ											
li	ли	li	li	Qq		31	2	1	fixed					1										
se_go+	се_го+	sego	sii	Pd-msg		31	3	5	obj															
ne+	не+	ne	ne	Qz		31	4	5	advmod															
sь_tvorišì,	сь_творишѝ,	sъtvoriši	sъtvorja	Vmip2se		31	5	8	advcl															
po+	по+	po	po	Sd		31	6	7	case															
ʾistině+	҆истинѣ+	istině	istina	Nfsdn		31	7	8	obl															
poznavaʾì	познава҆ѝ	poznavai	poznavam	Vmm-2si		31	8	0	root															
jako	ꙗко	jako	jako	C		31	9	14	mark															
w^gnjem	ѡ̂гнѥм	ognjem	ogъn	Nmsin		31	10	14	obl					1										
imâte	имâте	imate	imam	Vaip2pi		31	11	14	aux	fut														
wt+	ѿ+	ot	ot	Sg		31	12	13	case															
b҃a+	б҃а+	ba	bog	Nmsgy		31	13	14	obl	abl														
pogibnoúti.	погибноу́ти.	pogibnouti	pogibnuti	Vmn---e		31	14	8	advcl															
																								
íboʺ	и́бо̏	ibo	ibo	C		32	1	6	cc				ʺBecause I am a human too.ʺ											
i+	и+	i	i	C		32	2	3	amod															
azь+	азь+	azъ	az	Pp1-sn		32	3	6	nsubj															
wt	ѿ	ot	ot	Sg		32	4	5	case															
čl҃kьʺ+	чл҃кь̏+	člkъ	človek	Nmpgy		32	5	6	obl	abl														
jesmь,	ѥсмь,	jesmъ	sъm	Vmip1si		32	6	0	root															
																								
í	и́	i	i	C		33	1	4	cc				ʺAnd Epibates is my fatherland.ʺ	1										
wčina+	ѡчина+	očina	otčina	Nfsnn		33	2	4	obl	pred														
mi+	ми+	mi	az	Pp1-sd		33	3	2	nmod	poss														
jes	ѥс	jes	sъm	Vmip3si		33	4	0	root															
êpiváte	е̂пивáте	epivate	Epivat	Nmsln		33	5	4	nsubj															
																								
Vь+	Вь+	vъ	v	Sl		34	1	3	case				In that night also a woman called Euphemia saw the same vision.											
touʺžde+	тоу̏жде+	toužde	tъžde	Pr-fsa		34	2	3	det	ext														
noštь	нощь	noštъ	nošt	Nfsnn		34	3	10	obl															
někaa+	нѣкаа+	někaa	někoi	Afsny		34	4	5	amod	det														
že_na	же_на	žena	žena	Nfsny		34	5	10	nsubj					1										
ímenem	и́менем	imenem	ime	Nnsin		34	6	7	obl															
éfimïa,	е́фимїа,	efimia	Efimia	Nfsny		34	7	5	acl															
tožde	тожде	tožde	tъžde	Pr-nsn		34	8	7	det	ext														
viděnïe	видѣнїе	viděnie	videnie	Nnsnn		34	9	10	obj															
vìdě.	вѝдѣ.	vidě	vidja	Vmia3si		34	10	0	root															
																								
i+	и+	i	i	C		35	1	6	cc				And both told (about that) to everyone in the morning.											
ʾwbaʺ+	҆ѡба̏+	oba	obě	Amdnn		35	2	6	nsubj															
na	на	na	na	Sl		35	3	4	case					1										
utrïa	ꙋтрїа	utria	utro	Nnsgn		35	4	6	obl															
vьsěmь+	вьсѣмь+	vъsěmъ	vse	Ampdy		35	5	6	obl	iobj														
vьzvěstîše.	вьзвѣсти̂ше.	vъzvěstiše	vъzvestja	Vmia3pe		35	6	0	root															
																								
Slŷšavš^e+	Слы̂шавш̂е+	slyšavše	slyšati	Vmpa-pia	Ampnn	36	1	7	advmod				And having heard (it) and having taken candles, all ran to the grave of the saint.											
že	же	že	že	Qd		36	2	7	cc															
vь_sí	вь_си́	vъsi	vse	Ampnn		36	3	7	nsubj					1										
î+	и̂+	i	i	C		36	4	5	cc															
prijemšeʺ+	приѥмше̏+	prijemše	priema	Vmpa-pea	Ampnn	36	5	1	conj															
svěšte	свѣще	svěšte	svěšt	Nmpan		36	6	5	obj															
pritekoše+	притекоше+	pritekoše	priteka	Vmia3pe		36	7	0	root															
nad+	над+	nad	nad	Sa		36	8	9	case															
tělô	тѣло̂	tělo	tělo	Nnsnn		36	9	7	obl	lat														
st҃yʺjê,	ст҃ы̏ѥ̂,	styje	svęt	Afsgy		36	10	9	nmod	poss														
																								
ʾi+	҆и+	i	i	C		37	1	4	cc				And having taken the body, they placed it in a coffin.											
íʾz_mʾše	и́҆з_м҆ше	izmše	izęti	Vmpa-pea	Ampnn	37	2	4	advcl					2										
tělo+	тѣло+	tělo	tělo	Nnsnn		37	3	2	obj		51r	/img/petka/bar_51r.jpg												
položiše+	положише+	položiše	položa	Vmia3pe		37	4	0	root															
ʾi+	҆и+	i	toi	Pp3msn		37	5	4	obj															
vь+	вь+	vъ	v	Sl		37	6	7	case															
racě.	рацѣ.	racě	raka	Nfsdn		37	7	4	obl	loc														
																								
í+	и́+	i	i	C		38	1	4	cc				And having taken it, they put it in the church of Holy Apostles,											
nêsše+	не̂сше+	nesše	nesa	Vmpa-pea	Ampnn	38	2	4	advcl															
ʾi	҆и	i	i	Pp3msn		38	3	2	obj															
položîše	положи̂ше	položiše	položa	Vmia3pe		38	4	0	root															
vь	вь	vъ	v	Sl		38	5	6	case					1										
cr҃kvi	цр҃кви	crkvi	cъrkva	Nfsdn		38	6	4	obl	loc														
st҃ïix	ст҃їих	stiix	svęt	Ampgy		38	7	8	amod															
apslьʺ.	апсль̏.	apslъ	apostol	Nmpgy		38	8	6	nmod	poss														
ʾiže	҆иже	iže	iže	Pr-msn		38	9	12	mark				where (ʺwhatʺ) it pours healings until today.											
ʾi+	҆и+	i	i	C		38	10	11	amod															
cělbŷ	цѣлбы̂	cělby	cělba	Nfpnn		38	11	12	obj															
točitь	точить	točitъ	toča	Vmip3si		38	12	6	acl															
do+	до+	do	do	Sg		38	13	15	case															
sego	сего	sego	sii	Pd-msg		38	14	15	det															
dn҃e.	дн҃е.	dne	den	Nmsgn		38	15	12	obl															
																								
bě_snŷi	бѣ_сны̂и	běsnyi	běsen	Ampny		39	1	3	nsubj				Mad receive healings,	1										
cěl^bou	цѣл̂боу	cělbou	cělba	Nfsan		39	2	3	obj															
prijemljutь.	приѥмлють.	prijemljutъ	priema	Vmip3pe		39	3	0	root															
																								
slěpŷ	слѣпы̂	slěpy	slěp	Ampnn		40	1	0	root				the blind (receive) sight,			The following sentences are not in NBKM 665 (it continues with <i>slyšav že veliki crь...</i>).								
prozrěnije,	прозрѣниѥ,	prozrěnije	prozrenie	Nnsnn		40	2	1	obj															
																								
xromyʺ	хромы̏	xromy	xrom	Ampnn		41	1	0	root				the crippled (receive) walking.	1										
xoždenïe.	хожденїе.	xoždenie	xoždenie	Nnsnn		41	2	1	obj															
																								
i+	и+	i	i	C		42	1	8	cc				And those ill by any of the various illnesses receive healings.											
vsakïimi	всакїими	vsakiimi	vsěki	Ampiy		42	2	4	amod	det														
različnïimi+	различнїими+	različniimi	različen	Ampiy		42	3	4	amod															
nedougỳ	недоугы̀	nedougy	nedug	Nmpan		42	4	5	obl															
ʾw´drьžïmi	҆ѡ́дрьжїми	odrъžimi	odrъžati	Vmpp-pe	Ampny	42	5	8	advcl	nsubj:pass				1										
siʺ+	си̏+	si	se	Px---d		42	6	8	expl															
cěl^bŷ	цѣл̂бы̂	cělby	cělba	Nfsgn		42	7	8	obj															
prijémljutь.	приѥ́млють.	prijemljutъ	priema	Vmip3pe		42	8	0	root															
																								
(n/a)									mrg													10	Franks in Tsarigrad	
(n/a)									mrg													11	Conquests of John Asen	
																								
Slŷšav^+	Слы̂шав̂+	slyšav	slyšati	Vmpa-sia	Amsnn	43	1	20	advcl				As the great king John Asen, son of the great and old king Asen, heard about the miracles of the saint,									12	Translation to Tarnovo	
že	же	že	že	Qd		43	2	20	cc															
velikî	велики̂	veliki	velik	Amsny		43	3	4	amod															
cr҃ь	цр҃ь	crъ	car	Nmsny		43	4	1	nsubj					1										
ïʾwánnь	ї҆ѡáннь	ioannъ	Ioan	Nmsny		43	5	4	appos															
ʾásě´nь.	҆áсѣ́нь.	asěnъ	Asěn	Nmsny		43	6	5	appos															
sn҃ь	сн҃ь	snъ	sin	Nmsny		43	7	6	appos															
velʾikaʺgô	вел҆ика̏го̂	velikago	velik	Amsgy		43	8	11	amod															
i+	и+	i	i	C		43	9	10	cc															
sʾtaraago	с҆тарааго	staraago	star	Amsgy		43	10	8	conj															
ʾasěnʾja	҆асѣн҆ꙗ	asěnja	Asěn	Nmsgy		43	11	7	nmod	poss														
cr҃a	цр҃а	cra	car	Nmsgy		43	12	11	appos					1										
ʾw+	҆ѡ+	o	o (2)	Sl		43	13	14	case															
čjudesěx+	чюдесѣх+	čjudesěx	čudo	Nnpln		43	14	1	obl															
st҃ye,	ст҃ые,	stye	svęt	Amsgy		43	15	14	nmod	poss														
ʾi+	҆и+	i	i	C		43	16	18	cc				and having a wish, he wanted to move the body of the saint to his (domain).											
želanïe,	желанїе,	želanie	želanie	Nnsnn		43	17	18	obj															
vьždelěvь.	вьжделѣвь.	vъždelěvъ	vъždělati	Vmpa-sea		43	18	1	conj															
vьsxotě	вьсхотѣ	vъsxotě	vъsxotěti	Vmia3se		43	19	20	aux															
pri_nestì+	при_нестѝ+	prinesti	prinesa	Vmn---e		43	20	0	root					1										
tělo	тѣло	tělo	tělo	Nnsnn		43	21	20	obj															
st҃ïe	ст҃їе	stie	svęt	Ansgy		43	22	21	nmod	poss														
vь+	вь+	vъ	v	Sa		43	23	24	case															
svojâ+	своꙗ̂+	svoja	svoi	Afsny		43	24	20	obj	poss:lat														
sì.	сѝ.	si	se	Px---d		43	25	24	fixed															
																								
togda+	тогда+	togda	togda	Pr		44	1	16	advmod				As the Franks held Tsarigrad by then, paying tax to the great king John Asen,											
bo+	бо+	bo	bo	C		44	2	16	cc															
frougomь	фроугомь	frougomъ	fruzi	Nmpdy		44	3	5	nsubj															
cr҃igra_dь	цр҃игра_дь	crigradъ	Carigrad	Nmsnn		44	4	5	obj					1										
drьžeštïim	дрьжещїим	drъžeštiim	dъrža	Vmpp-pia	Ampdy	44	5	16	advcl															
ʾi+	҆и+	i	i	C		44	6	8	cc															
danì	данѝ	dani	dan	Nfsgn		44	7	8	obj															
dajušte	дающе	dajušte	dam	Vmpp-pia	Ampnn	44	8	5	conj															
velikoʺmou	велико̏моу	velikomou	velik	Amsdy		44	9	10	amod															
cr҃ou	цр҃оу	crou	car	Nmsdy		44	10	8	obj	iobj														
іw^ânnou	іѡ̂âнноу	іoannou	Ioan	Nmsdy		44	11	10	appos					1										
ʾásěnjù.	҆áсѣню̀.	asěnju	Asěn	Nmsdy		44	12	11	appos															
ʾwʾn+	҆ѡ҆н+	on	on	Pd-msn		44	13	16	nsubj				he (told them that he) did not need gold, nor silver, nor precious stones.											
že	же	že	že	Qd		44	14	16	cc															
ne+	не+	ne	ne	Qz		44	15	16	advmod															
potrěbova	потрѣбова	potrěbova	potrěbovati	Vmia3si		44	16	0	root															
nî+	ни̂+	ni	ni	C		44	17	18	cc															
zláto	злáто	zlato	zlato	Nnsnn		44	18	16	obj															
ni+	ни+	ni	ni	C		44	19	20	cc															
srebrò,	сребро̀,	srebro	srebro	Nnsnn		44	20	18	conj															
ni+	ни+	ni	ni	C		44	21	22	cc															
kame_nijè	каме_ниѥ̀	kamenije	kamenie	Nnsnn		44	22	20	conj					1										
mnogocěnnoe.	многоцѣнное.	mnogocěnnoe	mnogocěnen	Ansny		44	23	22	amod															
																								
nьʺ	нь̏	nъ	no	C		45	1	5	cc				But he dilligently resolved to carry the body of the saint to his glorious royal city of Tarnovo.											
troúdo_ljubьznô	троу́до_любьзно̂	troudoljubъzno	trudoljubezen	R		45	2	3	advmod															
podvig^+	подвиг̂+	podvig	podvig	Vmpa-sea	Amsnn	45	3	5	advcl															
se	се	se	se	Px---a		45	4	3	expl															
prě_nese+	прѣ_несе+	prěnese	prenesa	Vmia3se		45	5	0	root					1										
st҃ïe	ст҃їе	stie	svęt	Afsgy		45	6	7	nmod	poss														
tělo	тѣло	tělo	tělo	Nnsnn		45	7	5	obj															
vь+	вь+	vъ	v	Sa		45	8	11	case															
svoí+	свои́+	svoi	svoi	Amsny		45	9	11	amod	poss														
slavnī+	славнӥ+	slavni	slaven	Amsny		45	10	11	amod															
cr҃igradь+	цр҃иградь+	crigradъ	Carigrad	Nmsnn		45	11	5	obl	lat														
trьnovь.	трьновь.	trъnovъ	Tъrnov	Nmsnn		45	12	11	appos															
																								
î+	и̂+	i	i	C		45	1	2	cc				And he met (the body) with the patriarch and with all the clergy, and the people with candles and censers.											
ou_srětь	оу_срѣть	ousrětъ	usrětiti	Vmia3se		45	2	0	root					1										
sь+	сь+	sъ	s	Si		45	3	4	case															
patrïarxwm.	патрїархѡм.	patriarxom	patriarx	Nmsiy		45	4	2	obl															
i+	и+	i	i	C		45	5	8	cc															
sь	сь	sъ	s	Si		45	6	8	case															
v^sěmь+	в̂сѣмь+	vsěmъ	vse	Amsiy		45	7	8	amod	det														
pričtom.	причтом.	pričtom	pričet	Nmsin		45	8	4	conj															
ʾi+	҆и+	i	i	C		45	9	10	cc															
nardwmь.	нардѡмь.	nardomъ	narod	Nmsin		45	10	8	conj					1										
sь+	сь+	sъ	s	Si		45	11	12	case															
svěštami,	свѣщами,	svěštami	svěšt	Nfpin		45	12	10	nmod															
i+	и+	i	i	C		45	13	14	cc															
kadilom.	кадилом.	kadilom	kadilo	Nnsin		45	14	12	conj															
																								
i+	и+	i	i	C		46	1	5	cc				And with all due honor they placed (it) in the royal church.											
ʾsь+	҆сь+	sъ	s	Si		46	2	4	case															
vsakoju+	всакою+	vsakoju	vsěki	Afsin		46	3	4	amod	det														
čstïʾju	чстї҆ю	čstiju	čest	Nfsin		46	4	5	obl															
položiʺše+	положи̏ше+	položiše	položa	Vmia3pe		46	5	0	root															
vь	вь	vъ	v	Sl		46	6	8	case					1										
cr҃sěʾi+	цр҃сѣ҆и+	crsěi	carski	Afsdy		46	7	8	amod															
cr҃kvi.	цр҃кви.	crkvi	cъrkva	Nfsdn		46	8	5	obl	loc														
																								
Eježe	Єѥже	eježe	iže	Pr-fsg		47	1	2	nmod	poss			By her prayers, may the Lord makes us worthy to His kingdom.									13	Closing Prayers	
ml҃tvami	мл҃твами	mltvami	molitva	Nfpin		47	2	4	obl															
da+	да+	da	da	C		47	3	4	aux	opt														
spdobit+	спдобит+	spdobit	spodobja	Vmip3se		47	4	0	root															
nïi+	нїи+	nii	nie	Pp1-pa		47	5	4	obj															
g҃ь	г҃ь	gъ	Gospod	Nmsny		47	6	4	nsubj															
crstvïju	црствїю	crstviju	carstvie	Nnsdn		47	7	4	obl	iobj				1										
emou	емоу	emou	toi	Pp3msd		47	8	7	nmod	poss														
																								
a(minь).:.	а(минь).:.	aminъ	amin	I		48	1	0	root				Amen.											
