text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	folio	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
nekoï	некої	nekoi	někoi	Amsny		54	5	6	amod														
čovekъ	човекъ	čovekъ	čelověk	Nmsny		54	6	4	obj														
umrelъ	ꙋмрелъ	umrelъ	umrja	Vmp--se		54	7	6	amod														
																							
go+	го+	go	toi	Pp3msa		55	1	2	obj				they threw him on the side of the sea										
frъlïle	фрълїле	frъlile	fъrlja	Vmp--pe		55	2	0	root	prf													
na+	на+	na	na	Sa		55	3	4	case														
kraï	краї	krai	krai	Nmsnn		55	4	2	obl	lat				1									
prï+	прї+	pri	pri	Sl		55	5	6	case														
more+	море+	more	more	Nnsnn		55	6	4	nmod	loc													
to	то	to	tъ	Pd-nsn		55	7	6	det	p_nom													
																							
se	се	se	se	Px---a		56	1	2	expl				his body began to stink										
wsmerdïlo	ѡсмердїло	osmerdilo	osmъrdja	Vmp--se		56	2	0	root	prf													
telo+	тело+	telo	tělo	Nnsnn		56	3	2	nsubj														
to	то	to	tъ	Pd-nsn		56	4	3	det	p_nom													
negovo	негово	negovo	negov	Ansnn		56	5	3	amod	poss				1									
																							
posniko+	поснико+	posniko	postnik	Nmsoy		57	1	3	nsubj				the hermit commanded some people to bury the stinking corpse										
tъ	тъ	tъ	tъ	Pd-msn		57	2	1	det	p_nom													
povelelъ	повелелъ	povelelъ	povelja	Vmp--se		57	3	0	root	prf													
na+	на+	na	na	Sa		57	4	6	case														
nekoï	некої	nekoi	někoi	Ampny		57	5	6	amod														
čelovecï	человецї	čeloveci	čelověk	Nmpny		57	6	3	obl	iobj				1									
da+	да+	da	da	C		57	7	8	mark														
zakopaa	закопаа	zakopaa	zakopaja	Vmip3pe		57	8	3	advcl														
wnoï	ѡної	onoi	onja	Pd-msn		57	9	11	det	ext													
smerdlïvъ	смердлївъ	smerdlivъ	smъrdliv	Amsnn		57	10	11	amod														
trupъ	трꙋпъ	trupъ	trup	Nmsnn		57	11	8	obj														
																							
kopaïkï	копаїкї	kopaiki	kopaja	Vmpp-pia	Ampnn	58	1	3	advcl				as they dug, they found an undecayed body	1									
grobo	гробо	grobo	grob	Nmson		58	2	1	obj	p_nom													
naïdoa	наїдоа	naidoa	naida	Vmii3pe		58	3	0	root														
tělo	тѣло	tělo	tělo	Nnsnn		58	4	3	obj														
ne+	не+	ne	ne	Qz		58	5	6	amod														
ïzgnïeno	їзгнїено	izgnieno	izgnija	Ansnn	Vmpa-se	58	6	4	amod														
																							
ne	не	ne	ne	Qz		59	1	2	advmod				they did not think about the holiness (ʺlightnessʺ) of that body										
predumele	предꙋмеле	predumele	predumam	Vmp--pe		59	2	0	root	prf				1									
e+	е+	e	sъm	Vaip3si		59	3	6	cop														
lï+	лї+	li	li	Qq		59	4	3	advmod														
e	е	e	sъm	Vmip3si		59	5	3	discourse														
svetlo	светло	svetlo	světlo	Nnsnn		59	6	2	advcl	pred													
tova	това	tova	tova	Pd-nsn		59	7	8	det	ext													
tělo	тѣло	tělo	tělo	Nnsnn		59	8	6	nsubj														
																							
toku+	токꙋ+	toku	toko	R		60	1	3	advmod				they just left it on the (grave) floor										
go	го	go	toi	Pp3nsa		60	2	3	obj														
stavïle	ставїле	stavile	ostavja	Vmp--pe		60	3	0	root	prf				1									
na+	на+	na	na	Sl		60	4	5	case														
dno+	дно+	dno	dno	Nnsnn		60	5	3	obl	loc													
to	то	to	tъ	Pd-nsn		60	6	5	det	p_nom													
																							
nekoï	некої	nekoi	někoi	Pi---n		61	1	11	nsubj				one of the people who found that body									9	Recovery of the Relics
wt+	ѿ+	ot	ot	Sg		61	2	4	case														
tïę	тїѧ	tię	toja	Pd-mpn		61	3	4	det	ext													
ljudï	людї	ljudi	ljudie	Nmpnn		61	4	1	nmod	abl													
što	що	što	što	Pq		61	5	6	mark														
našle	нашле	našle	naida	Vmp--pe		61	6	4	acl	prf				1									
telo+	тело+	telo	tělo	Nnsnn		61	7	6	obj														
to	то	to	tъ	Pd-nsn		61	8	7	det	p_nom													
ï+	ї+	i	i	C		61	9	10	discourse				(ʺandʺ) he was called Georgi										
ednogo	едного	ednogo	edin	Amsgy		61	10	1	appos														
vïkale	вїкале	vikale	vikam	Vmp--pi		61	11	0	root	prf													
ћorћïę	ћорћїѧ	ћorћię	Georgi	Nmsvy		61	12	11	obl	pred				2									
																							
mu+	мꙋ+	mu	toi	Pp3msd		62	1	3	obl	iobj	8v	/img/petka/728_8v.png	a queen with shining clothes appeared to him in the dream										
se	се	se	se	Px---a		62	2	3	expl														
kazala	казала	kazala	kaža	Vmp--se		62	3	0	root	prf													
na+	на+	na	na	Sl		62	4	5	case														
sonъ	сонъ	sonъ	sъn	Nmsnn		62	5	3	obl	loc													
carïca	царїца	carica	carica	Nfsny		62	6	3	nsubj														
so+	со+	so	s	Si		62	7	9	case														
svetlï	светлї	svetli	světъl	Anpnn		62	8	9	amod					1									
alïšta	алїща	ališta	ališta	Nnpnn		62	9	6	nmod							makedonski.info: ališta 'dress'							
																							
ï+	ї+	i	i	C		63	1	3	cc				and she said to him:										
mu+	мꙋ+	mu	toi	Pp3msd		63	2	3	obl	iobj													
rekla	рекла	rekla	reka	Vmp--se		63	3	0	root	prf													
																							
ћorћïe	ћорћїе	ћorћie	Georgi	Nmsvy		64	1	3	vocative				ʺGeorgi, why did you throw that stinking corpse on my resting body?ʺ										
što+	що+	što	što	Pq		64	2	3	cc														
turïvte	тꙋрївте	turivte	turja	Vmii2pe		64	3	0	root														
wnïa	ѡнїа	onia	onja	Pd-msn		64	4	6	det	ext				1									
smerdlïvъ	смердлївъ	smerdlivъ	smъrdliv	Amsnn		64	5	6	amod														
trupъ	трꙋпъ	trupъ	trup	Nmsnn		64	6	3	obj														
na+	на+	na	na	Sa		64	7	10	case														
moe	мое	moe	moi	Ansny		64	8	10	amod	poss													
smïreno	смїрено	smireno	smiren	Ansnn		64	9	10	amod														
telo	тело	telo	tělo	Nnsnn		64	10	3	obl	lat				1									
																							
ï+	ї+	i	i	C		65	1	3	cc				also one woman called Efimia										
nekoa	некоа	nekoa	někoi	Afsny		65	2	3	amod														
žena	жена	žena	žena	Nfsny		65	3	11	nsubj														
ga+	га+	ga	tja	Pp3fsa		65	4	5	obj														
vïkale	вїкале	vikale	vikam	Vmp--pi		65	5	3	acl	prf													
efïmïę	ефїмїѧ	efimię	Efimia	Nfsny		65	6	5	obl	pred													
ï+	ї+	i	i	C		65	7	8	amod				she, too, saw such a vision										
wna	ѡна	ona	ona	Pp3fsn		65	8	3	appos														
toa	тоа	toa	tova	Pd-nsn		65	9	10	det	ext				1									
vïdenïe	вїденїе	videnie	viděnie	Nnsnn		65	10	11	obj														
vïdela	вїдела	videla	vidja	Vmp--si		65	11	0	root	prf													
																							
na+	на+	na	na	Sl		66	1	2	case				in the morning both told (to all) what they heard										
utro+	ꙋтро+	utro	utro	Nnsnn		66	2	5	obl	loc													
to	то	to	tъ	Pd-nsn		66	3	2	det	p_nom													
wba	ѡба	oba	oba	Ml		66	4	5	nsubj														
kažuale	кажꙋале	kažuale	kaža	Vmp--pe		66	5	0	root	prf				1									
kako+	како+	kako	kako	Pq		66	6	7	mark														
čule	чꙋле	čule	čuja	Vmp--pi		66	7	5	advcl	prf													
																							
ljudï	людї	ljudi	ljudie	Nmpny		67	1	3	nsubj				people assembled										
se+	се+	se	se	Px---a		67	2	3	expl														
sterčale	стерчале	sterčale	sterčam	Vmp--pi		67	3	0	root	prf													
																							
ï+	ї+	i	i	C		68	1	3	cc				and they were happy for the treasure they found										
se+	се+	se	se	Px---a		68	2	3	expl														
raduale	радꙋале	raduale	raduvam	Vmp--pi		68	3	0	root	prf				1									
kako	како	kako	kako	Pq		68	4	5	amod														
azno	азно	azno	xazna	Nnsnn		68	5	8	obj														
koga+	кога+	koga	koga	Pq		68	6	8	mark														
ï+	ї+	i	i	C		68	7	6	fixed														
našle	нашле	našle	naida	Vmp--pe		68	8	3	advcl	prf													
																							
ga	га	ga	tja	Pp3fsa		69	1	2	obj				they brought it to the church of St Apostles Peter and Paul in the village of Epibates										
wdnele	ѡднеле	odnele	otnema	Vmp--pe		69	2	0	root	prf													
u+	ꙋ+	u	u	Sg		69	3	4	case														
cerkva	церква	cerkva	cъrkva	Nfsnn		69	4	2	obl	lat				1									
svetï	светї	sveti	svęt	Amsny		69	5	6	amod														
apostolъ	апостолъ	apostolъ	apostol	Nmsny		69	6	4	nmod	poss													
peterъ	петеръ	peterъ	Peter	Nmsny		69	7	6	appos														
ï+	ї+	i	i	C		69	8	9	cc														
pavelъ	павелъ	pavelъ	Pavel	Nmsny		69	9	7	conj														
u+	ꙋ+	u	u	Sg		69	10	11	case														
selo	село	selo	selo	Nnsnn		69	11	4	nmod	loc				1									
epïfatъ	епїфатъ	epifatъ	Epivat	Nmsnn		69	12	11	appos														
																							
mnogo	много	mnogo	mnogo	R		70	1	2	amod				she performed many miracles there										
čudesa	чꙋдеса	čudesa	čudo	Nnpnn		70	2	3	obj														
čïnïla	чїнїла	činila	činja	Vmp--si		70	3	0	root	prf													
tamo	тамо	tamo	tamo	R		70	4	3	advmod					1									
																							
pa+	па+	pa	po	Sl		71	1	2	case				afterwards not much time has passed									10	Franks in Tsarigrad
toa	тоа	toa	tova	Pd-nsn		71	2	7	obl														
mnogo+	много+	mnogo	mnogo	R		71	3	6	amod														
ne+	не+	ne	ne	Qz		71	4	5	advmod														
e	е	e	sъm	Vaip3si		71	5	7	aux	prf													
vreme	време	vreme	vrěme	Nnsnn		71	6	7	nsubj														
zamïnalo	замїнало	zaminalo	zaminam	Vmp--se		71	7	0	root														
																							
ïmalo	їмало	imalo	imam	Vmp--si		72	1	0	root	prf			there was one honorable John, King of Bulgaria and Serbia	1								11	Conquests of John Asen
nekoï	некої	nekoi	někoi	Amsny		72	2	4	amod														
blagočestïfъ	благочестїфъ	blagočestifъ	blagočestiv	Amsnn		72	3	4	amod														
ïwanъ	їѡанъ	ioanъ	Ioann	Nmsny		72	4	1	obj														
kralъ	кралъ	kralъ	kral	Nmsny		72	5	4	appos														
bulgarskï	бꙋлгарскї	bulgarski	bъlgarski	Amsny		72	6	5	amod					1									
ï+	ї+	i	i	C		72	7	8	cc														
se_sbъskï	се_сбъскї	sesbъski	sъrbski	Amsny		72	8	6	conj														
																							
čulъ	чꙋлъ	čulъ	čuja	Vmp--si		73	1	0	root	prf			he heard about those holy relics									12	Translation to Tarnovo
za+	за+	za	za	Sa		73	2	5	case														
tïę	тїѧ	tię	toja	Pd-fpn		73	3	5	det	ext													
svetï	светї	sveti	svęt	Afpnn		73	4	5	amod														
moštï	мощї	mošti	mošti	Nfpnn		73	5	1	obl					1									
																							
mnogu+	многꙋ+	mnogu	mnogo	R		74	1	4	advmod				they were much to his liking										
mu+	мꙋ+	mu	toi	Pp3msd		74	2	4	obl	iobj													
se	се	se	se	Px---a		74	3	4	expl														
wmïlele	ѡмїлеле	omilele	omilja	Vmp--pe		74	4	0	root	prf													
																							
pratïl	пратїл	pratil	pratja	Vmp--se		75	1	0	root	prf			(so) he sent the blessed bishop Marko										
blaženago	блаженаго	blaženago	blažen	Amsgy		75	2	3	amod					1									
marka	марка	marka	Marko	Nmsgy		75	3	1	obj														
epïskopa	епїскопа	episkopa	episkop	Nmsgy		75	4	3	appos														
																							
ï+	ї+	i	i	C		76	1	6	cc				and with other priests, they brought the true relics from Epibates to the Bulgarian land										
so+	со+	so	s	Si		76	2	4	case														
drugï	дрꙋгї	drugi	drug	Ampnn		76	3	4	amod														
sveštenïkï	свещенїкї	svešteniki	svęštenik	Nmpny		76	4	6	obl					1									
gï+	гї+	gi	tě	Pp3-pa		76	5	8	expl														
prenesle	пренесле	prenesle	prenesa	Vmp--pe		76	6	0	root	prf													
česnïę	чеснїѧ	česnię	česten	Afpny		76	7	8	amod														
moštï	мощї	mošti	mošti	Nfpnn		76	8	6	obj														
wt+	ѿ+	ot	ot	Sg		76	9	10	case														
epïfatъ	епїфатъ	epifatъ	Epivat	Nmsnn		76	10	6	obl	abl				1									
vo+	во+	vo	v	Sa		76	11	13	case														
bolgarska	болгарска	bolgarska	bъlgarski	Afsnn		76	12	13	amod														
zemla	земла	zemla	zemlja	Nfsnn		76	13	6	obl	lat													
u+	ꙋ+	u	u	Sg		76	14	15	case				into the city of Tarnovo										
gratъ	гратъ	gratъ	grad	Nmsnn		76	15	6	obl	lat													
trъnovo	тръново	trъnovo	Tъrnovo	Nnsnn		76	16	15	appos					1									
																							
ï+	ї+	i	i	C		77	1	3	cc				and they placed them in a church										
gï	гї	gi	tě	Pp3-pa		77	2	3	obj														
postavïle	поставїле	postavile	postavja	Vmp--pe		77	3	0	root	prf													
u+	ꙋ+	u	u	Sg		77	4	5	case														
cerkva	церква	cerkva	cъrkva	Nfsnn		77	5	3	obl	loc													
																							
ï+	ї+	i	i	C		78	1	5	cc				and she performed many miracles there										
tamo	тамо	tamo	tamo	R		78	2	5	advmod														
mnogu	многꙋ	mnogu	mnogo	R		78	3	4	amod					1									
čudesa	чꙋдеса	čudesa	čudo	Nnpnn		78	4	5	obj														
čïnïla	чїнїла	činila	činja	Vmp--pi		78	5	0	root	prf													
																							
(n/a)									mrg													13	Closing Prayers (short versions)
																							
po+	по+	po	po	Sl		79	1	3	case				afterwards the Turks have risen from Sham (Syria)									14	Relics looted by Turks
toa+	тоа+	toa	tova	Pd-nsn		79	2	3	det	ext													
vreme	време	vreme	vrěme	Nnsnn		79	3	4	obl														
stanale	станале	stanale	stana	Vmp--pe		79	4	0	root	prf				1									
turcï	тꙋрцї	turci	turci	Nmpny		79	5	4	nsubj														
wt	ѿ	ot	ot	Sg		79	6	7	case							ar. šām 'Levant'							
šamъ	шамъ	šamъ	Šam	N-snn		79	7	4	obl	abl													
																							
voïska	воїска	voiska	voiska	Nnpnn		80	1	5	nsubj				the armies of (ʺwithʺ) the king Selim took the land of Greece										
so+	со+	so	s	Si		80	2	3	case														
cara+	цара+	cara	car	Nmsgy		80	3	5	obl					1									
selïma	селїма	selima	Selim	Nmsgy		80	4	3	appos														
zele	зеле	zele	zema	Vmp--pe		80	5	0	root	prf													
zemlę	землѧ	zemlę	zemlja	Nfsnn		80	6	5	obj														
grъčeska	гръческа	grъčeska	grъčeski	Afsnn		80	7	6	amod														
ï+	ї+	i	i	C		80	8	9	cc				and also the Serbian and Bulgarian (land)										
sebъska	себъска	sebъska	sъrbski	Afsnn		80	9	7	conj														
ï	ї	i	i	C		80	10	11	cc														
bolgarsta	болгарста	bolgarsta	bъlgarski	Afsnn		80	11	9	conj					1									
																							
napadnale	нападнале	napadnale	napadna	Vmp--pe		81	1	0	root	prf			they attacked the (ʺatʺ) city of Tarnovo										
u+	ꙋ+	u	u	Sg		81	2	3	case														
grada	града	grada	grad	Nmsgy		81	3	1	obl														
ternovo	терново	ternovo	Tъrnovo	Nnsnn		81	4	3	appos														
																							
sve+	све+	sve	sve	Nnsnn		82	1	3	amod				they looted everything										
e	е	e	sъm	Vaip3si		82	2	4	aux	prf													
stoka	стока	stoka	stoka	Nfsnn		82	3	4	obj					1									
pograbïle	пограбїле	pograbile	pograbja	Vmp--pe		82	4	0	root														
																							
ï+	ї+	i	i	C		83	1	6	cc				and they took even the silver from the churches										
po+	по+	po	po	Sl		83	2	3	case														
cerkve	церкве	cerkve	cъrkva	Nfpnn		83	3	6	obl	loc													
strebro	стребро	strebro	srebro	Nnsnn		83	4	6	obj														
ga+	га+	ga	tja	Pp3fsa		83	5	4	expl														
zemale	земале	zemale	zema	Vmp--pe		83	6	0	root	prf				1									
																							
ï+	ї+	i	i	C		84	1	5	cc				and they took the relics of the Saint (Parascheva)										
světeï	свѣтеї	světei	svęt	Afsdy		84	2	3	nmod	poss													
moštï	мощї	mošti	mošti	Nfpnn		84	3	5	obj														
gï+	гї+	gi	tě	Pp3-pa		84	4	3	expl														
dïgnale	дїгнале	dignale	digna	Vmp--pe		84	5	0	root	prf													
																							
gï+	гї+	gi	tě	Pp3-pa		85	1	2	obj				they brought them to Tsarigrad										
wdnene	ѡднене	odnene	otnema	Vmpa-pe		85	2	0	root	prf				1		< *otnele ?							
u+	ꙋ+	u	u	Sg		85	3	4	case														
carïgratъ	царїгратъ	carigratъ	Carigrad	Nmsnn		85	4	2	obl	lat													
																							
gï+	гї+	gi	tě	Pp3-pa		86	1	2	obj				they placed them in their palace										
postavïle	поставїле	postavile	postavja	Vmp--pe		86	2	0	root	prf													
u+	ꙋ+	u	u	Sg		86	3	4	case														
saraï	сараї	sarai	sarai	N-snn		86	4	2	obl	loc													
svoï	свої	svoi	svoi	Amsny		86	5	4	amod	poss				1									
																							
ï+	ї+	i	i	C		87	1	5	cc				and she did the miracles there then										
pakъ	пакъ	pakъ	pak	R		87	2	5	advmod														
tamo	тамо	tamo	tamo	R		87	3	5	advmod														
čudesa	чꙋдеса	čudesa	čudesa	Nnpnn		87	4	5	obj														
čïnïle	чїнїле	činile	činja	Vmp--pi		87	5	0	root	prf													
																							
ne+	не+	ne	ne	Qz		88	1	2	amod				not only Christians bowed to her										
salde	салде	salde	sade	R		88	2	3	amod					1									
xrïstęnï	хрїстѧнї	xristęni	xristianin	Nmpny		88	3	5	nsubj														
se+	се+	se	se	Px---a		88	4	5	expl														
poklonuale	поклонꙋале	poklonuale	poklonja	Vmp--pe		88	5	0	root	prf													
																							
no+	но+	no	no	C		89	1	4	cc				but even Turks were coming										
ï+	ї+	i	i	C		89	2	1	fixed														
turcï	тꙋрцї	turci	turci	Nmpny		89	3	4	nsubj					2									
prïwћale	прїѡћале	prioћale	prixodja	Vmp--pe		89	4	0	root	prf	9r	/img/petka/728_9r.png											
																							
pakï	пакї	paki	paki	C		90	1	5	cc				so the king gave them to the Patriarch										
caro+	царо+	caro	car	Nmsoy		90	2	5	nsubj														
tъ	тъ	tъ	tъ	Pd-msn		90	3	2	det	p_nom													
gï+	гї+	gi	tě	Pp3-pa		90	4	5	obj														
dalъ	далъ	dalъ	dam	Vmp--se		90	5	0	root	prf													
na+	на+	na	na	Sa		90	6	7	case														
patrïka	патрїка	patrika	patriarx	Nmsgy		90	7	5	obl	iobj				1									
																							
gï	гї	gi	tě	Pp3-pa		91	1	2	obj				they put them to the patriarchal church										
stavïle	ставїле	stavile	ostavja	Vmp--pe		91	2	0	root	prf													
u+	ꙋ+	u	u	Sg		91	3	4	case														
cerkva	церква	cerkva	cъrkva	Nfsnn		91	4	2	obl	loc													
patrïčka	патрїчка	patrička	patrički	Afsnn		91	5	4	amod														
																							
nekoï	некої	nekoi	někoi	Amsny		92	1	3	amod				(then) one blessed John, the Voivod of (ʺfromʺ) the land of Moldavia hat much love for those holy relics	1								15	Translation to Moldova
blagočestïvъ	благочестївъ	blagočestivъ	blagočestiv	Amsnn		92	2	3	amod														
ïwanъ	їѡанъ	ioanъ	Ioann	Nmsny		92	3	9	nsubj														
voïvoda	воївода	voivoda	voivoda	Nfsny		92	4	3	appos														
wt+	ѿ+	ot	ot	Sg		92	5	7	case														
moldavska	молдавска	moldavska	moldavski	Afsnn		92	6	7	amod					1									
zemlę	землѧ	zemlę	zemlja	Nfsnn		92	7	4	nmod	abl													
mnogu	многꙋ	mnogu	mnogo	R		92	8	9	advmod														
ïmalъ	їмалъ	imalъ	imam	Vmp--si		92	9	0	root	prf													
ljubovъ	любовъ	ljubovъ	ljubov	Nfsnn		92	10	9	obj														
za+	за+	za	za	Sa		92	11	14	case														
tïę	тїѧ	tię	toja	Pd-fpn		92	12	14	det	ext				1									
světï	свѣтї	světi	svęt	Afpnn		92	13	14	amod														
moštï	мощї	mošti	mošti	Nfpnn		92	14	10	nmod														
da+	да+	da	da	C		92	15	17	mark				to take them										
gï+	гї+	gi	tě	Pp3-pa		92	16	17	obj														
zeme	земе	zeme	zema	Vmip3se		92	17	9	advmod														
																							
pratïlъ	пратїлъ	pratilъ	pratja	Vmp--se		93	1	0	root	prf			he sent a request for them to the Patriarch										
po+	по+	po	po	Sa		93	2	3	case														
nïfъ	нїфъ	nifъ	tě	Pp3-pa		93	3	1	obl					1									
molenïe	моленїе	molenie	molěnie	Nnsnn		93	4	1	obj														
patrïarxu	патрїархꙋ	patriarxu	patriarx	Nmsdy		93	5	1	obl	iobj													
																							
molba+	молба+	molba	molba	Nfsnn		94	1	5	nsubj				his request passed										
ta	та	ta	tъ	Pd-fsn		94	2	1	det	p_nom													
negoa	негоа	negoa	negov	Afsnn		94	3	1	amod	poss													
mu+	мꙋ+	mu	toi	Pp3msd		94	4	3	expl														
prošla	прошла	prošla	proida	Vmp--se		94	5	0	root	prf				1									
																							
mu+	мꙋ+	mu	toi	Pp3msd		95	1	3	obl	iobj			he sent to him those holy relics										
gï	гї	gi	tě	Pp3-pa		95	2	6	expl														
pratïlъ	пратїлъ	pratilъ	pratja	Vmp--se		95	3	0	root	prf													
tïę	тїѧ	tię	toja	Pd-fpn		95	4	6	det	ext													
světï	свѣтї	světi	svęt	Afpnn		95	5	6	amod														
moštï	мощї	mošti	mošti	Nfpnn		95	6	3	obj														
																							
trï	трї	tri	tri	Ml		96	1	2	nummod				three metropolites	1									
mïtropolïtï	мїтрополїтї	mitropoliti	mitropolit	Nmpny		96	2	11	nsubj														
ïwanïkïa	їѡанїкїа	ioanikia	Ioanikii	Nmsgy		96	3	2	appos				Joannicius of Heraclion, Parthenius of Adrianople and Theophanes of Old Patras										
ïraklïnskago	їраклїнскаго	iraklinskago	iraklinski	Amsgy		96	4	3	amod					1									
parѳenïę	парѳенїѧ	parѳenię	Partenii	Nmsvy		96	5	3	conj														
andrïanopolskï	андрїанополскї	andrianopolski	andrianopolski	Amsny		96	6	5	amod														
ï+	ї+	i	i	C		96	7	8	cc														
ѳewfana	ѳеѡфана	ѳeofana	Teofan	Nmsgy		96	8	5	conj					1									
palewpronskï	палеѡпронскї	paleopronski	paleopronski	Amsny		96	9	8	amod														
gï	гї	gi	gi	Pp3-pa		96	10	11	obj				(they) brought them to the Moldavian land, to the city of Jassy										
wdnele	ѡднеле	odnele	otnema	Vmp--pe		96	11	0	root	prf													
u+	ꙋ+	u	u	Sg		96	12	14	case														
maldanska	малданска	maldanska	moldavski	Afsnn		96	13	14	amod					1									
zemlę	землѧ	zemlę	zemlja	Nfsnn		96	14	11	obl	lat													
u+	ꙋ+	u	u	Sg		96	15	16	case														
gratъ	гратъ	gratъ	grad	Nmsnn		96	16	11	obl	lat													
ęšъ	ѧшъ	ęšъ	Jaš	Nmsnn		96	17	16	appos														
																							
gï+	гї+	gi	tě	Pp3-pa		97	1	2	obj				they placed them in the church (ʺwhere wereʺ) of the Three Apostles with great joy and respect										
postavïle	поставїле	postavile	postavja	Vmp--pe		97	2	0	root	prf				1									
u+	ꙋ+	u	u	Sg		97	3	4	case														
cerkva	церква	cerkva	cъrkva	Nfsnn		97	4	2	obl	loc													
kede+	кеде+	kede	kъde	R		97	5	6	mark														
bïle	бїле	bile	sъm	Vmp--pi		97	6	4	acl	prf													
trï	трї	tri	tri	Ml		97	7	8	nummod														
svetïteleï	светїтелеї	svetitelei	svętitel	Nmpgy		97	8	4	nmod	poss				1									
so+	со+	so	s	Si		97	9	11	case														
golemъ	големъ	golemъ	golěm	Amsnn		97	10	11	amod														
radosъ	радосъ	radosъ	radost	Nfsnn		97	11	2	obl														
ï+	ї+	i	i	C		97	12	15	cc														
so+	со+	so	s	Si		97	13	15	case														
mnogu	многꙋ	mnogu	mnogo	R		97	14	15	amod														
počestъ	почестъ	počestъ	počest	Nfsnn		97	15	11	conj					1									
vo+	во+	vo	v	Sl		97	16	17	case				in the year 1641 on the (ʺday ofʺ) October 14th			Rostovski 1689: v' lě́tw vočelověčénïa gds҃nę *#axma*. ms҃ca októvrïę *dı* dnę̀.							
leto	лето	leto	lěto	Nnsnn		97	17	19	nmod														
naxama	нахама	naxama	1641	Mc		97	18	17	nummod							< *#axma* '1641'							
wktomvrïę	ѡктомврїѧ	oktomvrię	oktomvri	Nmsgy		97	19	21	nmod	poss													
14	14	14	14	Md		97	20	21	nummod														
dena	дена	dena	den	Nmsgy		97	21	2	obl	loc													
